,input_ba,true_en,pred_en
32,nee paappa maadibutae,you commited a sin,you are not a good guy
33,aennaga endhdhu ootae asuputhu ellae,i dont feel hungry today,i wont watch serials
34,ninna sarae hana attrae osi tharika,lend me some money if you have,you can buy a new house for me
35,ha ollenge edhdhae,yes iam fine,how are you
36,madhuvae aeguva,when is your marriage,what is the price
37,ninnaga aesu vayasu,what is your age,what is your salary
38,ninna anna na hesaru aena,what is your brothers name,what is your name
39,habba aeguva,when is the festival,what is the price
40,aena maadirae,what are you doing,what are you doing
41,manaega ogae aththu,get lost,come lets go to the house
42,soomi kaapathu,god save us,you should go to temple
43,manae ogasu baarivi,come inside the house,come lets go to the house
44,edhu aeka ethae hadathae,why it is like this,why are you so angry
45,edhu appara kastava hadathae ae,this is so difficult,this is so big
46,nee ennu orugulaya,still you havent slept,did you go to school
47,kodhara da evaka,they are killing us,come lets go
48,aenga manaega oppa baarivi,come we will go to my house,come here for lunch
49,habba aella singarava,how was the festival,come lets go
50,naaiga gelcha hadathaya,do you have work tommorrow,tomorrow is tomorrow
51,aesaga haenna hadathae,how much money do you have,how much money do you have
52,mudivu maadithiya,did you decided,did you do anything
53,na jaennagu bapa jaama na tha bannae,asusual time i will come,i will come to my village japan
54,aesu manniga opputhu,which time we will go,how much money is left
55,na noodavae ellae ninna,i havent seen you,i will look at you
56,appara baasae hada baeda,dont talk too much,dont look at me
57,mariyathiya baasae haadu,talk with respect,dont speak
58,naaiga mukiyavaenna jaenna,tommorrow is an important day,tomorrow is friday
59,enga naaiga bannaeyo,we are coming tomorrow.,tomorrow we will play
60,ninna hatti aedhu,which is your village,what is your village
61,aeradu manniga oppa,two o clock we will go,i will come here
62,bodhavaara orrasu oppa,wednesday we will go out,i cant walk
63,eattu pallitu hattiya hadathae,eight schools are there in the village,there is a lot of water in this river
64,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i do to you
65,ninnaga baerae gelcha vae ellaya,you dont have any other works,dont do anything
66,ollenge thindharae orruku ollenge bandhara,if you eat well ypou can sleep well,i dont have sleep
67,emma appara hanjuguli thava,he is a too scared person,he is a big man
68,nanga jaechibuta maara,we won maara,we will go to school
69,ennu aesu jaama tha sapaena ebbuthu,how long we should wait without doing anything,how long it takes to complete this
70,endhdhu appara gelcha aipta,today i had so much work,today i have a lot of work
71,eni maellae tha na gelcha maadinae,from now only im going to work,i will work here in my home
72,na aena aeguthu aendhdhu gaena buttuptae,i forgot what i should tell,i have seen you for many years
73,appara ossanae maada baeda,dont think too much,dont look at me
74,ninga esta aenavo maadi,your wich do whatever you want,what is your village
75,aenaga suthava verupa vae ellae,im not even interested,i dont have any
76,aelliga oithu banthae nee,where did you go,you should come here
77,edhu tha ninnaga kadaisi vaaipu,this is your last chance,this is your job
78,nee badaga harathaya,are you badaga,did you know badaga
79,na eni maellae ei gelchava maaduthu ellae,i wont do this work hereafter,i wont do anything for you
80,jaama aipta manakana manaega ogu,its time go home quickly,come lets go to the house
81,ninnuthu appara kunna kai thava,your hands are so tiny,your hands are so small
82,mandae besitu manaega ba ellati bara baeda,get a haircut and come home otherwise dont come,dont come here if you dont have a house
83,edhu ega nathuga mudiya makae,we cant complete this now,this kid is so cute
84,naaiga siti jama hara baputhuga,tomorrow i will come late,tomorrow i will come late
85,battlu thumba thindhubutaya,did you eat the whole plate,did you eat
86,olleya paatu attrae aegu aennaga,suggest me some good songs,i dont like paatu
87,koosu ga porumae ellae,this kid has no cool,i dont have any
88,ninga mannae appara kunnuthu,your house is too small,your house is so small
89,ninnava noodirae aennaga appara negusu banthara,when i look at you i feel like laughing,i like you so much
90,muuka seenjirae aeka odambu sari ellaya,you were having  a cold are you alright,dont look at this
91,gaena naaenna ellathae haithanae,he is subconscious,i havent seen you in my life
92,endhdhu appara besulu,today is too sunny,today it is raining
93,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,i will kill you
94,aennaga edhu sittitu saethi edipillae,i dont even like this,i like this one so much
95,aenga manaeya aenna amma tha rani,my mother is our queen in my house,my mother is my mother
96,nee thoddama harae aena harae,what is your aim in life,what is your father doing
97,nee aellava gevana buttu butrae,you will forgot everything,you dont have any other things
98,aella aelliga oiypru,where did everyone go,where did everyone go
99,aella aelliga oiypru,where did everyone go,where did everyone go
100,aella baruthu butaya,did you write everything,did you go to school
101,ettu edipiliya,i dont like the food,did you drink water
102,haluva esi thinnu,eat limitedly,eat rice
103,ninga tha saakithara ei nae ya,did you adopt this dog,how many people do you know you are
104,ninga enna gata aessaga nae saakithii,how many dogs did you adopt till now,how much money will you give me
105,nee aennaga aegi thantharaya,will you teach me,you should give me some advice
106,issh hadhuna aella dhaara arudhu dharae,i dont know this,i dont know how to speak
107,anga aguvavu tamil pada tha noodiniyu,we always watch tamil movies,we will watch serials in our home
108,naaiga ninna anna na nooda,tomorrow we will meet your brother,tomorrow we will meet your sister
109,naaiga aenna amma na noodu,tomorrow you meet my mother,tomorrow we will meet my mother
110,naaiga ninna maama na nooda,tomorrow you meet my uncle,tomorrow we will meet your brother
111,nangiga olleya jaenna,day after tomorrow is a good day,tomorrow is a good day
112,aella ollenge edhdharya,how is everyone,how is everyone
113,ni aaemanthuthigae,be carefull,i will speak to you
114,ninna saarae na ondhu aguthu,i want to tell you something,i dont know you
115,jamma appara haibuta,its too long,i dont have a lot
116,nee hamana ariyarae maka,i think you dont know him,you dont know him
117,edhu appara mukkiyavatha jooli,this is so important work,this is so good for you
118,hamana sarae aegiriya nee,can you tell him,do you have a son
119,ennu na aena maaduthu,what should i do next,what did you do this year
120,nee ha raja na kadhaya kaethaya,do you know that kings story,do you know how to do this
121,emaga jasthi bala ellae,he is not that strong,he is not a good guy
122,ninnava enna appa korchina,my dad called you,did you call me
123,ninna sarae na osi kaeputhu,i need to ask you somethings,i will buy a new house
124,aennaga thudi oduthu thadathae,my libs are cracked,i have ninty two rupees
125,bandi odusama appara maelana oona,driver rides very slow,when i go home I will go home
126,nee ninna jooli ya noodu,you better look at your work,you are your father
127,edhdhu hathae ondhu kasta ellae,this is noit that difficult,this is not a good thing
128,neeru appara kudatharae ollithu,drinking water is good for health,this is too much water
129,gudi ga oittu bapa ba,lets go to temple and come,come lets go to the restaurant
130,na hamana sarae baasae hadinae,i will talk to him,i have two lakhs
131,na endhdhu baputhuga siti jaama hara,today i will be late,i will come early today
132,endhdhu muttu jaenna,today is new moon day,today is thursday
133,ninga maennaya ninnava thaeduthu ellaya,in your home they wont search for you,you dont know how to do this
134,kunna koosu orruganae sooka ha edhdhanae noodu,sleeping baby is always beautifiul,you cant play with any other child
135,ninna moga appara thoduthu,you have a big face,your house is so small
136,ei gelcha appara asundikira,this job is too boring,this is so painful
137,amma kaapi sooka hadathae,coffee is too good mother,my eyes are so nice
138,naaiga parchae hadathae na odhathu,i need to prepare tomorrow i have an exam,tomorrow i will go to tomorrow
139,ei hannu appara seeya va attra,this fruit is so sweet,this ring is so big
140,endhdhu appara santhoshava eddhae na,today im very happy,today is a good day
141,na ninga manaega bannae endhdhu,today i will come to your home,i will come here tomorrow
142,battlu thumba thindhubutaya,did you eat the whole plate,did you eat
143,nee aennava thontharavu maada beda,dont disturb me,you dont know how to do this
144,neeru appara kammiya tha hadathae,there is only a liitle amount of water,there is a lot of water in this river
145,nee negatharae appara sooka edhdae,you look beautiful when you smile,you are so nice
146,aeguvavu negathu baasae haadu,we should always smile while talking,dont come here
147,nanga eni maellae jaennagu nooda,we shall meet daily hereafter,we will play with family
148,na tha aena maaduthu aendhdhu ariyarae,i dont know what to do,i dont know what to do
149,endhdhu aena ettu maaduthu vario,what to cook today,what to do today
150,ningaga pallitu aesu mani ga,at what time your school starts,how many peoples are there in your village
151,kunna kunna visiya tha nee dhara aenthu thorchira,small things define us,you dont know how to walk well
152,aeka ninga ennu thimbillae,why didnt you eat,why didnt you call
153,ei nae appara sooka hadathae,this dog is so adorable,this house is so beautiful
154,ondhu olliya hesaru aegu,tell me one good name,tell me some things
155,nee aethae edhdhae,how are you,how are you
156,ninna appaenna hesaru aena,what is your fathers name,what is your name
157,ninga aena kathari,what are you studying,what is your father doing
158,nanga hatta haada,we will dance,dont come here
159,soomi dhaevarae,oh god,he is a god
160,na originae,im sleeping,i havent heard from you
161,naaiga nooda ji,will see you tommorrow,tomorrow we will meet tomorrow
162,aena maadirae,what are you doing,what are you doing
163,elliga ba,come here,come here
164,mudivu maadithiya,did you decided,did you do anything
165,na jaennagu bapa jaama na tha bannae,asusual time i will come,i will come to my village japan
166,nee aethae edhdhae,how are you,how are you
167,orrukuthu nooda,see you in morning,look at the window
168,ninna kunnavae aella ollenge edhariya,how are your children,your father will be fine
169,endhdhu maatibutae daw nee,you caught today,did you do this
170,nee aena thindharae ega,what you are eating now,what did you do this year
171,koosu appara kurumbu,baby is naughty,this baby is so small
172,nee ondhu badagana,are you a badaga,you dont know how to do this
173,ha na ondhu badaga,yes i am a badaga,i dont have any
174,enna hesaru bhoja,my name is bhoja,yesterday i met your brother
175,nanjanad tha aenga hatti,my village is nanjanad,we are in a village
176,giji giji maada baeda,dont mess up,dont look at me
177,hava murukkindhu edhdhavae,she is in a foul mood,i have a murukkindhu
178,naaku nimisa tha hadathae berkuthuga,four minutes left to complete,i have two crore
179,thamma appara sooka edhdhanae,brother looks handsome,he is so nice
180,haruppu ga neeru kuduputhu,drink water while thirsty,drink water daily
181,naaiga othina aeddhu budu,wakeup early tomorrow,tomorrow i will come
182,jaennagu hallu ujjaadhu,daily we need to brush our teeth,we should go to school
183,hanja baeda na edhdhae,dont be scared im here,dont talk to anyone
184,emma appara hanjuguli thava,he is a too scared person,he is a big man
185,soomi aellava kaapathu,god save us all,god will come here
186,aesu manniga nanga oputhu,at what time we should go,how many peoples are there in your home
187,na aelligu baputhu ellae,im not comming anywhere,i wont come here
188,nanga jaechibuta maara,we won maara,we will go to school
189,maennakaenna ondhu gelcha siksaathu,need to find a job qickly,we cant work properly
190,naaiga ninnava na noodinae,tomorrow i will see you,tomorrow i will watch serials
191,hagulu hasuga aena maditha,what did you prepare for lunch,what is the lunch
192,nee thindhubutaya,did you eat,did you eat
193,nadatharava aenthu nooduva,lets see what is going to happen,tell me a story
194,bannae eru,wait i will come,come lets go
195,ei putti ya osi neeru tha hadathae,ther is a little water in this bottle,this is a good product
196,na moga thogithu bannae,i will wash my face and come,i will come to my village
197,ninna gadigaara na mani noodu,see the time in your watch,you can see me in my eyes
198,ei bandi ollenge hadathae,this vechile looks good,this bandi is so big
199,ema aeka ennu kaanae,why he is still not here,why is this so important
200,endhdhu orukuthu siti mae,there was a little rain this moring,today it is raining
201,na ondhu osa kamisu esithae,i buyed a new shirt,i havent seen you
202,na endhdhu aella gelcha maaduthu ellae,i wont work today,i wont do anything
203,nee appara oliya koosu aemba,you are very good guy it seems,you are so good guy
204,aennaga osi kuu ekku,serve me with some rice,i will buy some tiger
205,kannu appara kaesona hadathae,your eyes are too redish,there is a lot of water in this river
206,olliya gamalu banthara,nice smell comes,we cant go to the village
207,ega tha siti ollenge hadathae,now it is little good,this is a good place
208,aenna sarae silarae ellae,i dont have any change,i dont have any
209,aennaga rajini tha edathara,i like rajini,i like rajini
210,naanu ollenge nadichinae,i am aslo a good actor,i will be able to walk fast
211,manakana ba nanga oppa,come fast lets go,come fast and come
212,elliya hennu kunnavae battae mattu the attra,here there is only dresses for girls,there is a lot of water in this river
213,ha kadai appara kunnutha hadathae,that is so small,this dog is so small
214,osa mettu ondhu esothu,need to buy a new slippers,we can buy a new shirt
215,mottae udhaka appara sooka attra,egg gravy will be so nice,this baby girl is so cute
216,edhuna tha essu jaama noodithae,i have watched the same thing for so long time,this is how we should look after this
217,tharaathalae oddhae tha,if you wont give you will be punished,i havent seen you
218,kodhuthigae emana,dont kill him,dont be scared
219,havaka manaya beero hadathae,they have cupboard  in thier home,there is a lot of water in this river
220,bandi odasanae hanja kudathu,we should not be frightened while driving,dont take too long to go
221,na elli ebba havaka aellava harathae,i know everone here,i know many peoples
222,ninga aerada olliya joodi,you both are nice couples,you are very nice people
223,mara baettuthu paappa,cutting down tree is a sin,we should go to school
224,ninnaga tha appara ottae asthara,u the one who fells so hungry,your hands are so big
225,ninna sambuva aella va berikiptaya,did you spend your whole salary completely,your brother will come here
226,orruku bapaningae harae neeru kudi,drink some water if you fell sleepy,drink water while drinking
227,santhu thimbuthuga aena esathu,what to buy for dinner,what to do
228,avarai appara sooka attra,beasnas will be so good,this is so nice
229,aenna anna na sarae ethae maakae ondhu hadathae,my brother has one like this,i have four crore
230,na baputhalae ninnaga aeginae,i will tell you if i come,i will tell you
231,nee tha aellava sakathu,you should look after everbody,you should teach me
232,na hamana pathi aellava harathae,i know everything about him,i know him
233,edhuna badharava noodiko,look at this carefully,this is a badaga
234,ninnaga edhu puruthu tha,did you understand this,you should know this
235,hullathi enna amma na hatti,hullathi is my mothers village,hullathi is my village
236,nanjanad aenna chithi ya hatti,nanjanad is mu auntys village,i have four crore
237,na osi havakava tha harathae aenga hatti ya,i know only few peoples in my village,i have two crore in my village
238,aenga hatti appara thoda hatti,mine is a big village,our village is so small
239,nee ekkirae ei kamisu ollenge attra,this shirt will be good if you wear it,you should wear this dress regularly
240,naaiga tha mannae kichu ottiyara,tomorrow is the house warming function,tomorrow i will go to the village
241,na hadatha varusa baerae gelcha ga onnae,i will go to another job next year,i will go to the village for some work
242,na hadatha varusa osa mannae esinae,next year i am going to buy a house,i have four hundred and two rupees
243,halamaari ogasu osi battae hadathae,some clothes are there inside the cupboard,there is a lot of water in this river
244,gaai appara beesira,too much wind is blowing,this is too small
245,neeru kudapa,we will drink water,drink water
246,aella ollenge ebbuthu,everyone should be fine,i will give you some money
247,orruku ollenge bapiliya,i didnt get sleep,did you sleep well
248,gelcha maadithiya,did you work,did you work
249,gelcha maadibutae,i completed the work,did you work
250,gelcha maada gana,dont do the work,dont do anything
251,nee hamana noodithiya,did you see him,did you see him
252,nee amana nooda beda,you dont see him,do you see him
253,hanjathae eru,dont be scared,keep this tab clean
254,mussiya noodu,look at your face,look at the dress
255,elliga banthu thigae,dont come here,come here
256,elliga kandipa bara kudathu,you shouldnt come here definetely,come lets go to school
257,issh hadhuna aella dhaara arudhu dharae,i dont know this,i dont know how to speak
258,kai urchathu ellae,my hand is not paining,i dont have a cup
259,kai urchirae aegu,tell me if your hands pain,i cant hear anything
260,hagulu ettu aena,what is the lunch,what is the meal
261,hadutha varusa aena maadirae,what will you do next year,what will you do next year
262,emma bannava,will he come,he is mad
263,nanga oppava,shall we go,come lets go
264,evaka olliyavaka,they are good peoples,they are good friends
265,nee banthuptaya,you came,did you see me
266,na banthuptae,i came,i have written a song
267,ninga banthupra,you guys came,you will come
268,jaama hara,it takes time,we are here
269,jaama hadathae,we have time,there are no roads
270,jaama haputhuga ora,time is going to up,we will go to school
271,nee aennava korcha beda,you dont call me,you dont know me
272,nee aeka banthae,why did you call,why did you call
273,tho na bandi hadathae,bus is there in bus stand,i have four lakhs
274,battae hadathaya,do you have dress,do you have a sleeve
275,naaiga orukuthuga nalaba,tomorrow morning we will play,tomorrow we will play
276,naaiga santhu ga nalaba,tomorrow evening we will play,tomorrow we will play
277,ennu osi jaama nalaba,we will play for some more time,we will play tomorrow
278,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is saturday
279,naaiga sikkuvaara jaenna,tomorrow is thursday,tomorrow is thursday
280,naaiga bellie jaenna,tomorrow is friday,tomorrow is friday
281,endhdhu olleya jaenna,today is a good day,today is thursday
282,naaiga olleya jaenna,tomorrow is a good day,tomorrow is saturday
283,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
284,nennae aenna utti jaenna,yesterday is my birthdat,yesterday is my birthday
285,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
286,bellie aenna utti jaenna,friday is my birthday,today is my birthday
287,aenna sarae nooru uripi hadathae,i have hundred rupees,i have hundred rupees
288,aenna sarae eppathu uripi hadathae,i have twenty rupees,i have twenty rupees
289,aenna sarae eambathu uripi hadathae,i have eighty rupees,i have eighty rupees
290,aenna sarae saavira uripi hadathae,i have thousand rupees,i have thousand and thirty rupees
291,aenna sarae ombathu lacha hadathae,i have nine lakhs,i have nine lakhs
292,aenna sarae moovathi aeradu uripi hadathae,i have thirty two rupees,i have sixty two rupees
293,aenna sarae moovathi ombathu uripi hadathae,i have thirty nine rupees,i have sixty nine rupees
294,aenna sarae nalavathi aeradu uripi hadathae,i have fourty two rupees,i have fourty two rupees
295,aenna sarae nalavathi ezzhu uripi hadathae,i have fourty seven rupees,i have fourty seven rupees
296,aenna sarae haivathi aeradu uripi hadathae,i have fifty two rupees,i have fifty two rupees
297,aenna sarae haravathi ezzhu uripi hadathae,i have sixty seven rupees,i have sixty seven rupees
298,aenna sarae eambathi ondhu uripi hadathae,i have eighty one rupees,i have eighty one rupees
299,aenna sarae eambathi aeradu uripi hadathae,i have eighty two rupees,i have eighty two rupees
300,aenna sarae eambathi haaru uripi hadathae,i have eighty six rupees,i have eighty six rupees
301,aenna sarae thombathi ondhu uripi hadathae,i have ninty one rupees,i have ninty one rupees
302,aenna sarae thombathi aeradu uripi hadathae,i have ninty two rupees,i have ninty two rupees
303,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
304,aenna sarae eranoora hatthu uripi hadathae,i have two hundred and ten rupees,i have two hundred and five rupees
305,aenna sarae munoora haaru uripi hadathae,i have three hundred and six rupees,i have five hundred and six rupees
306,aenna sarae nanoora naaku uripi hadathae,i have four hundred and four rupees,i have four hundred and four rupees
307,aenna sarae nanoora eattu uripi hadathae,i have four hundred and eight rupees,i have four hundred and eight rupees
308,aenna sarae hainoora ezzhu uripi hadathae,i have five hundred and seven rupees,i have six hundred and seven rupees
309,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
310,aenna sarae ombainoora eattu uripi hadathae,i have nine hundred and eight rupees,i have nine hundred and eight rupees
311,aenna sarae saavirtha mooru uripi hadathae,i have thousand and three rupees,i have thousand and three rupees
312,aenna sarae saavirtha ezzhu uripi hadathae,i have thousand and seven rupees,i have thousand and fifty seven rupees
313,aenna sarae saavirtha hatthu uripi hadathae,i have thousand and ten rupees,i have thousand and fifty five rupees
314,aenna sarae saavirtha eppathi haithu uripi hadathae,i have thousand and twenty five rupees,i have thousand and twenty five rupees
315,aenna sarae saavirtha eppathi ombathu uripi hadathae,i have thousand and twenty nine rupees,i have thousand and twenty nine rupees
316,aenna sarae saavirtha moovathi ondhu uripi hadathae,i have thousand and thirty one rupees,i have thousand and thirty one rupees
317,aenna sarae saavirtha moovathi aeradu uripi hadathae,i have thousand and thirty two rupees,i have thousand and thirty two rupees
318,aenna sarae saavirtha moovathi naaku uripi hadathae,i have thousand and thirty four rupees,i have thousand and sixty four rupees
319,aenna sarae saavirtha moovathi ezzhu uripi hadathae,i have thousand and thirty seven rupees,i have thousand and thirty seven rupees
320,aenna sarae saavirtha nalavathi ezzhu uripi hadathae,i have thousand and fourty seven rupees,i have thousand and fourty seven rupees
321,aenna sarae saavirtha haivathi aeradu uripi hadathae,i have thousand and fifty two rupees,i have thousand and fifty five rupees
322,aenna sarae saavirtha haivathi naaku uripi hadathae,i have thousand and fifty four rupees,i have thousand and fifty four rupees
323,aenna sarae saavirtha haravathi ondhu uripi hadathae,i have thousand and sixty one rupees,i have thousand and sixty one rupees
324,aenna sarae saavirtha haravathi mooru uripi hadathae,i have thousand and sixty three rupees,i have thousand and sixty three rupees
325,aenna sarae saavirtha eambathu uripi hadathae,i have thousand and eighty rupees,i have thousand and eighty rupees
326,aenna sarae saavirtha eambathi naaku uripi hadathae,i have thousand and eighty four rupees,i have thousand and eighty four rupees
327,haalu kudapa,we will drink milk,drink milk
328,majigae kudathara,they are drinking curd,i dont like sourdough
329,majigae aennaga ediya,i dont like curd,dont eat anything
330,na ondhu aeginae orrudu,listen to me i will tell you something,i will go to school
331,nee aena thindharae ega,what you are eating now,what did you do this year
332,aeradu manniga oppa,two o clock we will go,i will come here
333,bodhavaara orrasu oppa,wednesday we will go out,i cant walk
334,eattu pallitu hattiya hadathae,eight schools are there in the village,there is a lot of water in this river
335,kannu appara urchira,eyes are paining,my stomach is paining
336,ogu osi jaama orrugu,go sleep for sometime,go to my house
337,osi kaapi be kudapa,make some coffee to drink,bring some water to your house
338,jaennagu hallu ujjaadhu,daily we need to brush our teeth,we should go to school
339,hanja baeda na edhdhae,dont be scared im here,dont talk to anyone
340,emma appara hanjuguli thava,he is a too scared person,he is a big man
341,evaka kudumba appara kasta pattu butru,theier family suffered a lot,this is a big slur
342,hostha ondhu maennae kattuthu,want to build a new home,we should go to school
343,aennaga eppathu aeradu vayasu aipta,im twenty two years old,i will give you some money
344,aenaga orruku bapaningae hadathae,i feel sleepy,i have a bed in my bed
345,oi orrugu da odra,getlost go and sleep,do you have a cup of coffee
346,na aena aeguthu aendhdhu gaena buttuptae,i forgot what i should tell,i have seen you for many years
347,maennae appara gijji gijji kasa bakaathu,the house is dirty need to sweep the house,we should go to school for dinner
348,ei paata ha kaethu noodu bayangara va hadathae,hear this song  is fantastic,this house is so small
349,eni maellae ethae aella aega baeda,dont tell like this again,dont play with this game
350,na hamana sarae baasae hadinae,i will talk to him,i have two lakhs
351,aenaga edhdhu suthava edipilae,i dont like this,i dont have any
352,ninga hatti raj na harathaya,you know raj from your village,you are your village minister
353,na ninnava arriyarae thava ninna hesaru aena,what is your name i dont know you,what is your name i dont know
354,na ninnaga adhuna kaeginae,i will send you that one,i will come here for some time
355,odi odi kaalu aella urchira,legs are paining because of running,my hands is paining
356,sittitu havathu manasatchi oda aegu,be a little hontest,do you have a good house
357,ninnuthu appara kunna kai thava,your hands are so tiny,your hands are so small
358,ninna moga appara thoduthu,you have a big face,your house is so small
359,anna aedhachi aegu,brother tell something,tell me something
360,naaiga parchae hadathae na odhathu,i need to prepare tomorrow i have an exam,tomorrow i will go to tomorrow
361,edhuga maellaee aennala sathiyava mudiya,promise i cant tolerate it anymore,i dont know how to do this
362,sangata va ninnaga,do you have a fever,do you have a tooth
363,jairam amba hamana nee harathaya,do you know jairam,do you know jairam
364,nanga aerada ottuga tha kattha,we both studied together,we will play with children
365,na ondhu ossaennae maadi beethuthae,i though something to tell,i have written so many songs
366,surakana osi kaapi be,prepare some hot coffee,bring some water to your home
367,egavae appara jaama aipta thava,already its too late,this is so bad
368,ollenge haratha havaka sarae mattu tha ragasiya aegakku,we can only share secrets with the well known person,i dont know how to speak
369,bessi neeru kudatharae sangata bara,drinking hot water is good for health,drink water while drinking
370,endhdhu appara mae oodhara,it is raining heavy today,today it is raining heavily
371,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,i will kill you
372,naaiga aena madirae nee,tomorrow what will you do,what will you do next year
373,aennaga edhu sittitu saethi edipillae,i dont even like this,i like this one so much
374,ondhu maada gana sapaena eru,dont do anything be quite,do you have a lot of work
375,nangaga aena tha maadiliyu paadipu bara,whatever we do we will be weak in studies,what do you want to do next year
376,aella aelliga oiypru,where did everyone go,where did everyone go
377,aella aelliga oiypru,where did everyone go,where did everyone go
378,ningaga pallitu aesu mani ga,at what time your school starts,how many peoples are there in your village
379,jaasthi thindhaya ellae kammi thindhaya,did you eat full or less,did you thindhaya
380,ninga hesaru aena,what is your name,what is your name
381,ninga aena kathari,what are you studying,what is your father doing
382,appara jaama haipta,its too late,this is too late
383,ninnava harathae,i know you,i know you
384,aena maadirae,what are you doing,what are you doing
385,koosu aena kathana,what is your son studying,what is your son doing
386,appara asundu daw edhu,it is too  boring,this is so boring
387,baarivi baarivi,comeon comeon,come lets come
388,manae ogasu baarivi,come inside the house,come lets go to the house
389,edhu appara kastava hadathae ae,this is so difficult,this is so big
390,nanga aena ji maaduthu,what shall we do now,what will we do next year
391,aena maadirae,what are you doing,what are you doing
392,halliga ogu,go there,come here
393,nee tha aeguthu,you should tell,what is the name of this
394,nee aennava harathae thanae,you know me right,you are my father
395,hatti ga oppiliya nee,you didnt go to village,you didnt go to village
396,hatlae osi tharika,give me some if you have,bring some tiger
397,aella soomi yu ondhu tha,all gods are same,i dont have any
398,nanga tha edhu aellava aegi kodathu,we should teach them all this,we should teach them all this
399,nee aennaga aegi thantharaya,will you teach me,you should give me some advice
400,na enna gata ninnava noodithae ellae thava,i havent seen you so far,i wont look at you again
401,nee elli gelcha madiriya,do you work here,you are not alone
402,nee aelli kathae,where did you study,you are not a good guy
403,haramichibutaya nee thiriki,you started again,do you know me
404,na ennu hadhuna harambichavae ellae,still you did not started it,i dont have any
405,paravalae budu naaiga nooda,its okay tomorrow we will see,tomorrow we will see
406,seri na oittu bannae,okay i will leave,i will go to my house
407,nennae santhu orrukae bapilae,yesterday night i was not able to sleep,yesterday morning it was raining
408,nennae na ninna amma na noodithae,yesterday i met your mother,yesterday i met your mother
409,naaiga tha pallitu endhdhu ellae,tomorrow i have school not today,tomorrow i will go to school
410,naaiga ninna appa na nooda,tomorrow we will meet your father,tomorrow we will meet your father
411,naaiga ninna amma na nooda,tomorrow we will meet your mother,tomorrow we will meet your mother
412,naaiga aenna amme ya noodu,tomorrow you meet my sister,tomorrow is my birthday
413,ninnaga aena nalavata appara edathara,which game you like the most,what do you like the most
414,ninnaga aena hannu appara edathara,which fruit you like the most,what do you like most
415,jaamai nanga nooda,after sometime we will meet,look at your face
416,ovae edhu aena eththae hara,oh why is this happening,what is your age
417,ninga hatti gowda na hesaru aena,what is the name of your village president,what is your village wedding
418,e kamissu appara sooka hadathae,this shirt is so nice,this bag is so nice
419,ba aenga maenaga oittu bapa,come lets go to my home,come lets go to school
420,kammi kudi,drink less,come lets go
421,nee aennava aeka korchulae,why didnt you call me,you are not good friends
