,input_ba,true_en,pred_en
108,naaiga ninna anna na nooda,tomorrow we will meet your brother,tomorrow we will meet your brother
109,naaiga aenna amma na noodu,tomorrow you meet my mother,tomorrow you meet my mother
110,naaiga ninna maama na nooda,tomorrow you meet my uncle,tomorrow we will meet your uncle
111,nangiga olleya jaenna,day after tomorrow is a good day,day after tomorrow is a good day
112,aella ollenge edhdharya,how is everyone,how is everyone
113,ni aaemanthuthigae,be carefull,be carefull
114,ninna saarae na ondhu aguthu,i want to tell you something,i want to tell you something
115,jamma appara haibuta,its too long,its too long
116,nee hamana ariyarae maka,i think you dont know him,i think you dont know him
117,edhu appara mukkiyavatha jooli,this is so important work,this is so important work
118,hamana sarae aegiriya nee,can you tell him,can you tell him
119,ennu na aena maaduthu,what should i do next,what should i do next
120,nee ha raja na kadhaya kaethaya,do you know that kings story,do you know that kings story
121,emaga jasthi bala ellae,he is not that strong,he is not that strong
122,ninnava enna appa korchina,my dad called you,my dad called you
123,ninna sarae na osi kaeputhu,i need to ask you somethings,i need to ask you somethings
124,aennaga thudi oduthu thadathae,my libs are cracked,my libs are cracked
125,bandi odusama appara maelana oona,driver rides very slow,driver rides very slow
126,nee ninna jooli ya noodu,you better look at your work,you better look at your work
127,edhdhu hathae ondhu kasta ellae,this is noit that difficult,this is noit that difficult
128,neeru appara kudatharae ollithu,drinking water is good for health,drinking water is good for health
129,gudi ga oittu bapa ba,lets go to temple and come,lets go to temple and come
130,na hamana sarae baasae hadinae,i will talk to him,i will talk to him
131,na endhdhu baputhuga siti jaama hara,today i will be late,today i will be late
132,endhdhu muttu jaenna,today is new moon day,today is new moon day
133,ninga maennaya ninnava thaeduthu ellaya,in your home they wont search for you,in your home they wont search for you
134,kunna koosu orruganae sooka ha edhdhanae noodu,sleeping baby is always beautifiul,sleeping baby is always beautifiul
135,ninna moga appara thoduthu,you have a big face,you have a big face
136,ei gelcha appara asundikira,this job is too boring,this job is too boring
137,amma kaapi sooka hadathae,coffee is too good mother,coffee is too good mother
138,naaiga parchae hadathae na odhathu,i need to prepare tomorrow i have an exam,i need to prepare tomorrow i have exam
139,ei hannu appara seeya va attra,this fruit is so sweet,this fruit is so sweet
140,endhdhu appara santhoshava eddhae na,today im very happy,today im very happy
141,na ninga manaega bannae endhdhu,today i will come to your home,today i will come to your home
142,battlu thumba thindhubutaya,did you eat the whole plate,did you eat the whole plate
143,nee aennava thontharavu maada beda,dont disturb me,dont disturb me
144,neeru appara kammiya tha hadathae,there is only a liitle amount of water,there is only a liitle amount of water
145,nee negatharae appara sooka edhdae,you look beautiful when you smile,you look beautiful when you smile
146,aeguvavu negathu baasae haadu,we should always smile while talking,we should always smile while talking
147,nanga eni maellae jaennagu nooda,we shall meet daily hereafter,we shall meet daily hereafter
148,na tha aena maaduthu aendhdhu ariyarae,i dont know what to do,i dont know what to do
149,endhdhu aena ettu maaduthu vario,what to cook today,what to cook today
150,ningaga pallitu aesu mani ga,at what time your school starts,at what time your school starts
151,kunna kunna visiya tha nee dhara aenthu thorchira,small things define us,small things define us
152,aeka ninga ennu thimbillae,why didnt you eat,why didnt you eat
153,ei nae appara sooka hadathae,this dog is so adorable,this dog is so adorable
154,ondhu olliya hesaru aegu,tell me one good name,tell me one good name
155,nee aethae edhdhae,how are you,how are you
156,ninna appaenna hesaru aena,what is your fathers name,what is your fathers name
157,ninga aena kathari,what are you studying,what are you studying
158,nanga hatta haada,we will dance,we will dance
159,soomi dhaevarae,oh god,oh god
160,na originae,im sleeping,im sleeping
161,naaiga nooda ji,will see you tommorrow,will see you tommorrow
162,aena maadirae,what are you doing,what are you doing
163,elliga ba,come here,come here
164,mudivu maadithiya,did you decided,did you decided
165,na jaennagu bapa jaama na tha bannae,asusual time i will come,asusual time i will come
166,nee aethae edhdhae,how are you,how are you
167,orrukuthu nooda,see you in morning,see you in morning
168,ninna kunnavae aella ollenge edhariya,how are your children,how are your children
169,endhdhu maatibutae daw nee,you caught today,you caught today
170,nee aena thindharae ega,what you are eating now,what you are eating now
171,koosu appara kurumbu,baby is naughty,baby is naughty
172,nee ondhu badagana,are you a badaga,are you a badaga
173,ha na ondhu badaga,yes i am a badaga,yes i am a badaga
174,enna hesaru bhoja,my name is bhoja,my name is bhoja
175,nanjanad tha aenga hatti,my village is nanjanad,nanjanad is my village
176,giji giji maada baeda,dont mess up,dont mess up
177,hava murukkindhu edhdhavae,she is in a foul mood,she is in a foul mood
178,naaku nimisa tha hadathae berkuthuga,four minutes left to complete,four minutes left to complete
179,thamma appara sooka edhdhanae,brother looks handsome,brother looks handsome
180,haruppu ga neeru kuduputhu,drink water while thirsty,drink water while thirsty
181,naaiga othina aeddhu budu,wakeup early tomorrow,wakeup early tomorrow
182,jaennagu hallu ujjaadhu,daily we need to brush our teeth,daily we need to brush our teeth
183,hanja baeda na edhdhae,dont be scared im here,dont be scared im here
184,emma appara hanjuguli thava,he is a too scared person,he is a too scared person
185,soomi aellava kaapathu,god save us all,god save us all
186,aesu manniga nanga oputhu,at what time we should go,at what time we should go
187,na aelligu baputhu ellae,im not comming anywhere,im not comming anywhere
188,nanga jaechibuta maara,we won maara,we won maara
189,maennakaenna ondhu gelcha siksaathu,need to find a job qickly,need to find a job qickly
190,naaiga ninnava na noodinae,tomorrow i will see you,tomorrow i will see you
191,hagulu hasuga aena maditha,what did you prepare for lunch,what did you prepare for lunch
192,nee thindhubutaya,did you eat,did you eat
193,nadatharava aenthu nooduva,lets see what is going to happen,lets see what will happen
194,bannae eru,wait i will come,wait i will come
195,ei putti ya osi neeru tha hadathae,ther is a little water in this bottle,ther is a little water in this bottle
196,na moga thogithu bannae,i will wash my face and come,i will wash my face and come
197,ninna gadigaara na mani noodu,see the time in your watch,see the time in your watch
198,ei bandi ollenge hadathae,this vechile looks good,this vechile looks good
199,ema aeka ennu kaanae,why he is still not here,why he is still not here
200,endhdhu orukuthu siti mae,there was a little rain this moring,there was a little rain this moring
201,na ondhu osa kamisu esithae,i buyed a new shirt,i buyed a new shirt
202,na endhdhu aella gelcha maaduthu ellae,i wont work today,i wont work today
203,nee appara oliya koosu aemba,you are very good guy it seems,you are very good guy it seems
204,aennaga osi kuu ekku,serve me with some rice,serve me with some rice
205,kannu appara kaesona hadathae,your eyes are too redish,your eyes are too redish
206,olliya gamalu banthara,nice smell comes,nice smell comes
207,ega tha siti ollenge hadathae,now it is little good,now it is little good
208,aenna sarae silarae ellae,i dont have any change,i dont have any change
209,aennaga rajini tha edathara,i like rajini,i like rajini
210,naanu ollenge nadichinae,i am aslo a good actor,i aslo can act well
211,manakana ba nanga oppa,come fast lets go,come fast lets go
212,elliya hennu kunnavae battae mattu the attra,here there is only dresses for girls,here there is only dresses for girls
213,ha kadai appara kunnutha hadathae,that is so small,that is so small
214,osa mettu ondhu esothu,need to buy a new slippers,need to buy a new slippers
215,mottae udhaka appara sooka attra,egg gravy will be so nice,egg gravy will be so nice
216,edhuna tha essu jaama noodithae,i have watched the same thing for so long time,i have watched the same thing for so long time
217,tharaathalae oddhae tha,if you wont give you will be punished,if you wont give you will be punished
218,kodhuthigae emana,dont kill him,dont kill him
219,havaka manaya beero hadathae,they have cupboard  in thier home,they have cupboard in thier home
220,bandi odasanae hanja kudathu,we should not be frightened while driving,we should not be frightened while driving
221,na elli ebba havaka aellava harathae,i know everone here,i know everone here
222,ninga aerada olliya joodi,you both are nice couples,you both are nice couples
223,mara baettuthu paappa,cutting down tree is a sin,cutting down tree is a sin
224,ninnaga tha appara ottae asthara,u the one who fells so hungry,u the one who suffered the most
225,ninna sambuva aella va berikiptaya,did you spend your whole salary completely,did you spend your whole salary completely
226,orruku bapaningae harae neeru kudi,drink some water if you fell sleepy,drink some water if you fell sleepy
227,santhu thimbuthuga aena esathu,what to buy for dinner,what to buy for dinner
228,avarai appara sooka attra,beasnas will be so good,beasnas will be so good
229,aenna anna na sarae ethae maakae ondhu hadathae,my brother has one like this,my brother has one like this
230,na baputhalae ninnaga aeginae,i will tell you if i come,i will tell you if i come
231,nee tha aellava sakathu,you should look after everbody,you should look after everbody
232,na hamana pathi aellava harathae,i know everything about him,i know everone
233,edhuna badharava noodiko,look at this carefully,look at this carefully
234,ninnaga edhu puruthu tha,did you understand this,did you understand this
235,hullathi enna amma na hatti,hullathi is my mothers village,hullathi is my mothers village
236,nanjanad aenna chithi ya hatti,nanjanad is mu auntys village,nanjanad is mu auntys village
237,na osi havakava tha harathae aenga hatti ya,i know only few peoples in my village,i know only few peoples in my village
238,aenga hatti appara thoda hatti,mine is a big village,mine is a big village
239,nee ekkirae ei kamisu ollenge attra,this shirt will be good if you wear it,this shirt will be good if you wear it
240,naaiga tha mannae kichu ottiyara,tomorrow is the house warming function,tomorrow is the house warming function
241,na hadatha varusa baerae gelcha ga onnae,i will go to another job next year,i will go to another job next year
242,na hadatha varusa osa mannae esinae,next year i am going to buy a house,next year i will buy a new house
243,halamaari ogasu osi battae hadathae,some clothes are there inside the cupboard,some clothes are there inside the cupboard
244,gaai appara beesira,too much wind is blowing,too much wind is blowing
245,neeru kudapa,we will drink water,we will drink water
246,aella ollenge ebbuthu,everyone should be fine,everyone should be fine
247,orruku ollenge bapiliya,i didnt get sleep,i didnt get sleep
248,gelcha maadithiya,did you work,did you work
249,gelcha maadibutae,i completed the work,i completed the work
250,gelcha maada gana,dont do the work,dont do the work
251,nee hamana noodithiya,did you see him,did you see him
252,nee amana nooda beda,you dont see him,you dont look him
253,hanjathae eru,dont be scared,dont be scared
254,mussiya noodu,look at your face,look at your face
255,elliga banthu thigae,dont come here,dont come here
256,elliga kandipa bara kudathu,you shouldnt come here definetely,you shouldnt come here definetely
257,issh hadhuna aella dhaara arudhu dharae,i dont know this,i dont know this
258,kai urchathu ellae,my hand is not paining,my hand is not paining
259,kai urchirae aegu,tell me if your hands pain,tell me if your hands pain
260,hagulu ettu aena,what is the lunch,what is the lunch
261,hadutha varusa aena maadirae,what will you do next year,what will you do next year
262,emma bannava,will he come,will he come
263,nanga oppava,shall we go,shall we go
264,evaka olliyavaka,they are good peoples,they are good peoples
265,nee banthuptaya,you came,you came
266,na banthuptae,i came,i came
267,ninga banthupra,you guys came,you guys came
268,jaama hara,it takes time,it takes time
269,jaama hadathae,we have time,we have time
270,jaama haputhuga ora,time is going to up,time is going to up
271,nee aennava korcha beda,you dont call me,you dont call me
272,nee aeka banthae,why did you call,why did you call
273,tho na bandi hadathae,bus is there in bus stand,bus is there in bus stand
274,battae hadathaya,do you have dress,do you have dress
275,naaiga orukuthuga nalaba,tomorrow morning we will play,tomorrow morning we will play
276,naaiga santhu ga nalaba,tomorrow evening we will play,tomorrow evening we will play
277,ennu osi jaama nalaba,we will play for some more time,we will play for some more time
278,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is wednesday
279,naaiga sikkuvaara jaenna,tomorrow is thursday,tomorrow is thursday
280,naaiga bellie jaenna,tomorrow is friday,tomorrow is friday
281,endhdhu olleya jaenna,today is a good day,today is a good day
282,naaiga olleya jaenna,tomorrow is a good day,tomorrow is a good day
283,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
284,nennae aenna utti jaenna,yesterday is my birthdat,yesterday is my birthdat
285,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
286,bellie aenna utti jaenna,friday is my birthday,friday is my birthday
287,aenna sarae nooru uripi hadathae,i have hundred rupees,i have hundred rupees
288,aenna sarae eppathu uripi hadathae,i have twenty rupees,i have twenty rupees
289,aenna sarae eambathu uripi hadathae,i have eighty rupees,i have eighty rupees
290,aenna sarae saavira uripi hadathae,i have thousand rupees,i have thousand rupees
291,aenna sarae ombathu lacha hadathae,i have nine lakhs,i have nine lakhs
292,aenna sarae moovathi aeradu uripi hadathae,i have thirty two rupees,i have thirty two rupees
293,aenna sarae moovathi ombathu uripi hadathae,i have thirty nine rupees,i have thirty nine rupees
294,aenna sarae nalavathi aeradu uripi hadathae,i have fourty two rupees,i have fourty two rupees
295,aenna sarae nalavathi ezzhu uripi hadathae,i have fourty seven rupees,i have fourty seven rupees
296,aenna sarae haivathi aeradu uripi hadathae,i have fifty two rupees,i have fifty two rupees
297,aenna sarae haravathi ezzhu uripi hadathae,i have sixty seven rupees,i have sixty seven rupees
298,aenna sarae eambathi ondhu uripi hadathae,i have eighty one rupees,i have eighty one rupees
299,aenna sarae eambathi aeradu uripi hadathae,i have eighty two rupees,i have eighty two rupees
300,aenna sarae eambathi haaru uripi hadathae,i have eighty six rupees,i have eighty six rupees
301,aenna sarae thombathi ondhu uripi hadathae,i have ninty one rupees,i have ninty one rupees
302,aenna sarae thombathi aeradu uripi hadathae,i have ninty two rupees,i have ninty two rupees
303,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
304,aenna sarae eranoora hatthu uripi hadathae,i have two hundred and ten rupees,i have two hundred and ten rupees
305,aenna sarae munoora haaru uripi hadathae,i have three hundred and six rupees,i have three hundred and six rupees
306,aenna sarae nanoora naaku uripi hadathae,i have four hundred and four rupees,i have four hundred and four rupees
307,aenna sarae nanoora eattu uripi hadathae,i have four hundred and eight rupees,i have four hundred and eight rupees
308,aenna sarae hainoora ezzhu uripi hadathae,i have five hundred and seven rupees,i have five hundred and seven rupees
309,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
310,aenna sarae ombainoora eattu uripi hadathae,i have nine hundred and eight rupees,i have nine hundred and eight rupees
311,aenna sarae saavirtha mooru uripi hadathae,i have thousand and three rupees,i have thousand and three rupees
312,aenna sarae saavirtha ezzhu uripi hadathae,i have thousand and seven rupees,i have thousand and seven rupees
313,aenna sarae saavirtha hatthu uripi hadathae,i have thousand and ten rupees,i have thousand and ten rupees
314,aenna sarae saavirtha eppathi haithu uripi hadathae,i have thousand and twenty five rupees,i have thousand and twenty five rupees
315,aenna sarae saavirtha eppathi ombathu uripi hadathae,i have thousand and twenty nine rupees,i have thousand and twenty nine rupees
316,aenna sarae saavirtha moovathi ondhu uripi hadathae,i have thousand and thirty one rupees,i have thousand and thirty one rupees
317,aenna sarae saavirtha moovathi aeradu uripi hadathae,i have thousand and thirty two rupees,i have thousand and thirty two rupees
318,aenna sarae saavirtha moovathi naaku uripi hadathae,i have thousand and thirty four rupees,i have thousand and thirty four rupees
319,aenna sarae saavirtha moovathi ezzhu uripi hadathae,i have thousand and thirty seven rupees,i have thousand and thirty seven rupees
320,aenna sarae saavirtha nalavathi ezzhu uripi hadathae,i have thousand and fourty seven rupees,i have thousand and fourty seven rupees
321,aenna sarae saavirtha haivathi aeradu uripi hadathae,i have thousand and fifty two rupees,i have thousand and fifty two rupees
322,aenna sarae saavirtha haivathi naaku uripi hadathae,i have thousand and fifty four rupees,i have thousand and fifty four rupees
323,aenna sarae saavirtha haravathi ondhu uripi hadathae,i have thousand and sixty one rupees,i have thousand and sixty one rupees
324,aenna sarae saavirtha haravathi mooru uripi hadathae,i have thousand and sixty three rupees,i have thousand and sixty three rupees
325,aenna sarae saavirtha eambathu uripi hadathae,i have thousand and eighty rupees,i have thousand and eighty rupees
326,aenna sarae saavirtha eambathi naaku uripi hadathae,i have thousand and eighty four rupees,i have thousand and eighty four rupees
327,haalu kudapa,we will drink milk,we will drink milk
328,majigae kudathara,they are drinking curd,they are drinking curd
329,majigae aennaga ediya,i dont like curd,i dont like curd
330,na ondhu aeginae orrudu,listen to me i will tell you something,listen to me i will tell something
331,nee aena thindharae ega,what you are eating now,what you are eating now
332,aeradu manniga oppa,two o clock we will go,two o clock we will go
333,bodhavaara orrasu oppa,wednesday we will go out,wednesday we will go out
334,eattu pallitu hattiya hadathae,eight schools are there in the village,eight schools are there in the village
335,kannu appara urchira,eyes are paining,eyes are paining
336,ogu osi jaama orrugu,go sleep for sometime,go sleep for sometime
337,osi kaapi be kudapa,make some coffee to drink,make some coffee to drink
338,jaennagu hallu ujjaadhu,daily we need to brush our teeth,daily we need to brush our teeth
339,hanja baeda na edhdhae,dont be scared im here,dont be scared im here
340,emma appara hanjuguli thava,he is a too scared person,he is a too scared person
341,evaka kudumba appara kasta pattu butru,theier family suffered a lot,theier family suffered a lot
342,hostha ondhu maennae kattuthu,want to build a new home,want to build a new home
343,aennaga eppathu aeradu vayasu aipta,im twenty two years old,im twenty two years old
344,aenaga orruku bapaningae hadathae,i feel sleepy,i feel sleepy
345,oi orrugu da odra,getlost go and sleep,getlost go sleep
346,na aena aeguthu aendhdhu gaena buttuptae,i forgot what i should tell,i forgot what i should tell
347,maennae appara gijji gijji kasa bakaathu,the house is dirty need to sweep the house,the house is dirty need to sweep the house
348,ei paata ha kaethu noodu bayangara va hadathae,hear this song  is fantastic,hear this song is fantastic
349,eni maellae ethae aella aega baeda,dont tell like this again,dont tell like this again
350,na hamana sarae baasae hadinae,i will talk to him,i will talk to him
351,aenaga edhdhu suthava edipilae,i dont like this,i dont like this
352,ninga hatti raj na harathaya,you know raj from your village,you know raj from your village
353,na ninnava arriyarae thava ninna hesaru aena,what is your name i dont know you,what is your name i dont know you
354,na ninnaga adhuna kaeginae,i will send you that one,i will send you that one
355,odi odi kaalu aella urchira,legs are paining because of running,legs are paining because of running
356,sittitu havathu manasatchi oda aegu,be a little hontest,be a little hontest
357,ninnuthu appara kunna kai thava,your hands are so tiny,your hands are so tiny
358,ninna moga appara thoduthu,you have a big face,you have a big face
359,anna aedhachi aegu,brother tell something,brother tell something
360,naaiga parchae hadathae na odhathu,i need to prepare tomorrow i have an exam,i need to prepare tomorrow i have exam
361,edhuga maellaee aennala sathiyava mudiya,promise i cant tolerate it anymore,promise i cant promise anymore
362,sangata va ninnaga,do you have a fever,do you have a fever
363,jairam amba hamana nee harathaya,do you know jairam,do you know jairam
364,nanga aerada ottuga tha kattha,we both studied together,we both studied together
365,na ondhu ossaennae maadi beethuthae,i though something to tell,i though something to tell
366,surakana osi kaapi be,prepare some hot coffee,prepare some hot coffee
367,egavae appara jaama aipta thava,already its too late,already its too late
368,ollenge haratha havaka sarae mattu tha ragasiya aegakku,we can only share secrets with the well known person,we can only share secrets with the well known person
369,bessi neeru kudatharae sangata bara,drinking hot water is good for health,drinking hot water is good for health
370,endhdhu appara mae oodhara,it is raining heavy today,it is raining heavy today
371,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,the cow is worshiped as a god by badagas
372,naaiga aena madirae nee,tomorrow what will you do,tomorrow what will you do
373,aennaga edhu sittitu saethi edipillae,i dont even like this,i dont even like this
374,ondhu maada gana sapaena eru,dont do anything be quite,dont do anything be quite
375,nangaga aena tha maadiliyu paadipu bara,whatever we do we will be weak in studies,whatever we do we will be weak in studies
376,aella aelliga oiypru,where did everyone go,where did everyone go
377,aella aelliga oiypru,where did everyone go,where did everyone go
378,ningaga pallitu aesu mani ga,at what time your school starts,at what time your school starts
379,jaasthi thindhaya ellae kammi thindhaya,did you eat full or less,did you eat full or less
380,ninga hesaru aena,what is your name,what is your name
381,ninga aena kathari,what are you studying,what are you studying
382,appara jaama haipta,its too late,its too late
383,ninnava harathae,i know you,i know you
384,aena maadirae,what are you doing,what are you doing
385,koosu aena kathana,what is your son studying,what is your son studying
386,appara asundu daw edhu,it is too  boring,it is too boring
387,baarivi baarivi,comeon comeon,comeon comeon
388,manae ogasu baarivi,come inside the house,come inside the house
389,edhu appara kastava hadathae ae,this is so difficult,this is so difficult
390,nanga aena ji maaduthu,what shall we do now,what shall we do now
391,aena maadirae,what are you doing,what are you doing
392,halliga ogu,go there,go there
393,nee tha aeguthu,you should tell,you should tell
394,nee aennava harathae thanae,you know me right,you know me right
395,hatti ga oppiliya nee,you didnt go to village,you didnt go to village
396,hatlae osi tharika,give me some if you have,give me some if you have
397,aella soomi yu ondhu tha,all gods are same,all gods are same
398,nanga tha edhu aellava aegi kodathu,we should teach them all this,we should teach them all this
399,nee aennaga aegi thantharaya,will you teach me,will you teach me
400,na enna gata ninnava noodithae ellae thava,i havent seen you so far,i havent seen you so far
401,nee elli gelcha madiriya,do you work here,do you work here
402,nee aelli kathae,where did you study,where did you study
403,haramichibutaya nee thiriki,you started again,you started again
404,na ennu hadhuna harambichavae ellae,still you did not started it,still you did not started it
405,paravalae budu naaiga nooda,its okay tomorrow we will see,its okay tomorrow we will see
406,seri na oittu bannae,okay i will leave,okay i will leave
407,nennae santhu orrukae bapilae,yesterday night i was not able to sleep,yesterday night i was not able to sleep
408,nennae na ninna amma na noodithae,yesterday i met your mother,yesterday i met your mother
409,naaiga tha pallitu endhdhu ellae,tomorrow i have school not today,tomorrow i have school not today
410,naaiga ninna appa na nooda,tomorrow we will meet your father,tomorrow we will meet your father
411,naaiga ninna amma na nooda,tomorrow we will meet your mother,tomorrow we will meet your mother
412,naaiga aenna amme ya noodu,tomorrow you meet my sister,tomorrow you meet my sister
