,input_en,true_ba,pred_ba
26,is this new for you,ninnaga edhu ostha,edhuna edhuna appara edhdhae
27,today there is a death ceremony here,endhdhu elliya ondhu saavu,ei halla na ninnaga ollenge hadathae
28,waiting feels good,kaaputhu ondhu sogatha,ollenge appara sooka hadathae
29,sky is so good today,baanu sooka hadathae endhdhu,endhdhu appara sooka hadathae
30,i like them so much,aennaga evakava appara edathara,na appara edathara
31,day before yesterday did you go to school,maranae nee pallitu ga odhaya,maranae nee pallitu ga odhae
32,you commited a sin,nee paappa maadibutae,nee aennava maadithae
33,i dont feel hungry today,aennaga endhdhu ootae asuputhu ellae,endhdhu appara edhdhu ellae
34,lend me some money if you have,ninna sarae hana attrae osi tharika,ninnaga sarae ollenge edhdhae
35,yes iam fine,ha ollenge edhdhae,ninnaga ollenge edhdhae
36,when is your marriage,madhuvae aeguva,ninnaga aeguva aeguva
37,what is your age,ninnaga aesu vayasu,ninnaga aesaga aegu
38,what is your brothers name,ninna anna na hesaru aena,ninna anna hesaru aena
39,when is the festival,habba aeguva,habba jaennaga aeguva
40,what are you doing,aena maadirae,ninnaga aena maadirae
41,get lost,manaega ogae aththu,nee ollenge edhdhae
42,god save us,soomi kaapathu,nee aennava ollenge edhdhae
43,come inside the house,manae ogasu baarivi,manaeya ollenge banthu
44,why it is like this,edhu aeka ethae hadathae,edhuna aesaga appara edhdhae
45,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta
46,still you havent slept,nee ennu orugulaya,nee ollenge nee
47,they are killing us,kodhara da evaka,nee aennava noodithae
48,come we will go to my house,aenga manaega oppa baarivi,aenga manaega oppa banthara
49,how was the festival,habba aella singarava,habba jaenna aesaga
50,do you have work tommorrow,naaiga gelcha hadathaya,naaiga ollenge hadathae
51,how much money do you have,aesaga haenna hadathae,ninnaga aena sarae aesaga
52,did you decided,mudivu maadithiya,ninnaga aeguva aegu
53,asusual time i will come,na jaennagu bapa jaama na tha bannae,jaama na bannae
54,which time we will go,aesu manniga opputhu,aesu manakana oppa
55,i havent seen you,na noodavae ellae ninna,ninnava noodithae
56,dont talk too much,appara baasae hada baeda,ninnaga appara baasae hadathae
57,talk with respect,mariyathiya baasae haadu,hamana baasae hadathae
58,tommorrow is an important day,naaiga mukiyavaenna jaenna,naaiga tha ninnaga jaenna
59,we are coming tomorrow.,enga naaiga bannaeyo,nangiga naaiga bannae
60,which is your village,ninna hatti aedhu,ninga hatti
61,two o clock we will go,aeradu manniga oppa,nanga aella ollenge oppa
62,wednesday we will go out,bodhavaara orrasu oppa,nennae santhu oppa
63,eight schools are there in the village,eattu pallitu hattiya hadathae,aenga hatti hattiya hadathae
64,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena maadirae aena maadirae
65,you dont have any other works,ninnaga baerae gelcha vae ellaya,ninnaga ollenge ellaya
66,if you eat well ypou can sleep well,ollenge thindharae orruku ollenge bandhara,ollenge ollenge ollenge ypou
67,he is a too scared person,emma appara hanjuguli thava,emma appara kasta edhdhae
68,we won maara,nanga jaechibuta maara,maara aennaga maara
69,how long we should wait without doing anything,ennu aesu jaama tha sapaena ebbuthu,nee aesu jaama aesu jaama aesaga
70,today i had so much work,endhdhu appara gelcha aipta,endhdhu gelcha hadathae
71,from now only im going to work,eni maellae tha na gelcha maadinae,eni maellae ollenge gelcha maadinae
72,i forgot what i should tell,na aena aeguthu aendhdhu gaena buttuptae,na aena maadithae aena maadithae
73,dont think too much,appara ossanae maada baeda,ninnaga appara baeda
74,your wich do whatever you want,ninga esta aenavo maadi,ninnaga aena maaduthu aena maaduthu
75,im not even interested,aenaga suthava verupa vae ellae,nee aennaga edhdhae ellae
76,where did you go,aelliga oithu banthae nee,nee aesaga oppa
77,this is your last chance,edhu tha ninnaga kadaisi vaaipu,edhuna tha ninnaga ollenge edhdhae
78,are you badaga,nee badaga harathaya,nee badaga edhdhae
79,i wont do this work hereafter,na eni maellae ei gelchava maaduthu ellae,ei gelcha maaduthu ellae
80,its time go home quickly,jaama aipta manakana manaega ogu,manakana manaega manaega manaega manaega manaega
81,your hands are so tiny,ninnuthu appara kunna kai thava,ninnaga appara kunnutha hadathae
82,get a haircut and come home otherwise dont come,mandae besitu manaega ba ellati bara baeda,manakana ollenge manakana baeda
83,we cant complete this now,edhu ega nathuga mudiya makae,edhuna aennaga edhuna maadithae
84,tomorrow i will come late,naaiga siti jama hara baputhuga,naaiga bannae bannae
85,did you eat the whole plate,battlu thumba thindhubutaya,nee ollenge ettu thindharae
86,suggest me some good songs,olleya paatu attrae aegu aennaga,ninnaga aella ollenge edhdhae
87,this kid has no cool,koosu ga porumae ellae,ei koosu koosu ellae
88,your house is too small,ninga mannae appara kunnuthu,nee appara kunnuthu appara kunnuthu
89,when i look at you i feel like laughing,ninnava noodirae aennaga appara negusu banthara,ninnava noodithae aennaga noodithae
90,you were having  a cold are you alright,muuka seenjirae aeka odambu sari ellaya,ninnaga appara kasta ollenge edhdhae
91,he is subconscious,gaena naaenna ellathae haithanae,emma appara koosu
92,today is too sunny,endhdhu appara besulu,endhdhu appara sooka hadathae
93,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,koosu koosu tha harathaya
94,i dont even like this,aennaga edhu sittitu saethi edipillae,edhuna appara edhdhae
95,my mother is our queen in my house,aenga manaeya aenna amma tha rani,aenga manaeya aenga manaeya
96,what is your aim in life,nee thoddama harae aena harae,ninnaga aena maaduthu aena
97,you will forgot everything,nee aellava gevana buttu butrae,nee ollenge edhdhae
98,where did everyone go,aella aelliga oiypru,nee ollenge edhdhae
99,where did everyone go,aella aelliga oiypru,nee ollenge edhdhae
100,did you write everything,aella baruthu butaya,ninnaga aella na ninnava noodithae
101,i dont like the food,ettu edipiliya,aennaga appara edathara
102,eat limitedly,haluva esi thinnu,manakana baputhu
103,did you adopt this dog,ninga tha saakithara ei nae ya,ei nae ninna ninna noodithiya
104,how many dogs did you adopt till now,ninga enna gata aessaga nae saakithii,aenna sarae nae ninnaga aesaga ettu
105,will you teach me,nee aennaga aegi thantharaya,ninnaga aennava maadithae
106,i dont know this,issh hadhuna aella dhaara arudhu dharae,edhuna aennaga edhdhae aennaga
107,we always watch tamil movies,anga aguvavu tamil pada tha noodiniyu,nanga tamil appara tamil aegu
108,tomorrow we will meet your brother,naaiga ninna anna na nooda,naaiga ninna amme ya noodithae
109,tomorrow you meet my mother,naaiga aenna amma na noodu,naaiga ninna amme ya noodithae
110,tomorrow you meet my uncle,naaiga ninna maama na nooda,naaiga ninna amme ya noodithae
111,day after tomorrow is a good day,nangiga olleya jaenna,nangiga olleya jaenna
112,how is everyone,aella ollenge edhdharya,nee aethae edhdhae
113,be carefull,ni aaemanthuthigae,ollenge edhdhae
114,i want to tell you something,ninna saarae na ondhu aguthu,ninna sarae na ninnava noodithae
115,its too long,jamma appara haibuta,ninnaga appara jaama
116,i think you dont know him,nee hamana ariyarae maka,nee hamana nooduthu ellae
117,this is so important work,edhu appara mukkiyavatha jooli,edhuna appara sooka hadathae
118,can you tell him,hamana sarae aegiriya nee,nee aeka edhdhae aennava
119,what should i do next,ennu na aena maaduthu,eni maellae aena maadirae
120,do you know that kings story,nee ha raja na kadhaya kaethaya,ninnaga koosu aeguva
121,he is not that strong,emaga jasthi bala ellae,emma appara kunnuthu
122,my dad called you,ninnava enna appa korchina,ninna anna na ninnava noodithae
123,i need to ask you somethings,ninna sarae na osi kaeputhu,ninna sarae na ninnava noodithae
124,my libs are cracked,aennaga thudi oduthu thadathae,ninna sarae aennaga thava hadathae
125,driver rides very slow,bandi odusama appara maelana oona,nee appara ollenge edhdhae
126,you better look at your work,nee ninna jooli ya noodu,ninnaga gelcha maadithae
127,this is noit that difficult,edhdhu hathae ondhu kasta ellae,edhu appara kasta edhdhae
128,drinking water is good for health,neeru appara kudatharae ollithu,kuduputhu ollithu ollithu
129,lets go to temple and come,gudi ga oittu bapa ba,nanga ollenge oppa ba
130,i will talk to him,na hamana sarae baasae hadinae,na ninnava noodithae
131,today i will be late,na endhdhu baputhuga siti jaama hara,na ninnaga ollenge edhdhae
132,today is new moon day,endhdhu muttu jaenna,endhdhu jaenna
133,in your home they wont search for you,ninga maennaya ninnava thaeduthu ellaya,ninnaga aennaga na ninnaga edatharava
134,sleeping baby is always beautifiul,kunna koosu orruganae sooka ha edhdhanae noodu,koosu ollenge edhdhanae
135,you have a big face,ninna moga appara thoduthu,ninnaga appara sarae hadathae
136,this job is too boring,ei gelcha appara asundikira,ei kai appara sooka hadathae
137,coffee is too good mother,amma kaapi sooka hadathae,kaapi appara olliya olliya
138,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga aennaga ondhu parchae
139,this fruit is so sweet,ei hannu appara seeya va attra,ei koosu appara sooka hadathae
140,today im very happy,endhdhu appara santhoshava eddhae na,endhdhu appara edhdhu
141,today i will come to your home,na ninga manaega bannae endhdhu,na ninnava na ninnava ollenge edhdharae
142,did you eat the whole plate,battlu thumba thindhubutaya,nee ollenge ettu thindharae
143,dont disturb me,nee aennava thontharavu maada beda,nee aennava ollenge ellae
144,there is only a liitle amount of water,neeru appara kammiya tha hadathae,neeru appara thoduthu ellae
145,you look beautiful when you smile,nee negatharae appara sooka edhdae,ninnaga appara sooka edhdhae
146,we should always smile while talking,aeguvavu negathu baasae haadu,ninnaga aeguva ollenge edhdhae
147,we shall meet daily hereafter,nanga eni maellae jaennagu nooda,nangiga aennaga na na noodithae
148,i dont know what to do,na tha aena maaduthu aendhdhu ariyarae,na ninnaga aena maaduthu ellae
149,what to cook today,endhdhu aena ettu maaduthu vario,endhdhu ollenge ettu
150,at what time your school starts,ningaga pallitu aesu mani ga,ninnaga aesu maniga aesaga
151,small things define us,kunna kunna visiya tha nee dhara aenthu thorchira,aennaga koosu koosu ellae
152,why didnt you eat,aeka ninga ennu thimbillae,nee aeka edhdhae
153,this dog is so adorable,ei nae appara sooka hadathae,ei koosu appara sooka hadathae
154,tell me one good name,ondhu olliya hesaru aegu,aennaga ondhu ollenge hadathae
155,how are you,nee aethae edhdhae,ninnaga aesaga
156,what is your fathers name,ninna appaenna hesaru aena,ninna sarae na hesaru aena
157,what are you studying,ninga aena kathari,ninnaga aena maadirae
158,we will dance,nanga hatta haada,nanga ollenge maadithae
159,oh god,soomi dhaevarae,ollenge edhdhae
160,im sleeping,na originae,nee ollenge edhdhae
161,will see you tommorrow,naaiga nooda ji,naaiga ninnaga noodiriya
162,what are you doing,aena maadirae,ninnaga aena maadirae
163,come here,elliga ba,elliga banthu
164,did you decided,mudivu maadithiya,ninnaga aeguva aegu
165,asusual time i will come,na jaennagu bapa jaama na tha bannae,jaama na bannae
166,how are you,nee aethae edhdhae,ninnaga aesaga
167,see you in morning,orrukuthu nooda,orrukuthu orrukuthu
168,how are your children,ninna kunnavae aella ollenge edhariya,ninna sarae aesaga edhdhae
169,you caught today,endhdhu maatibutae daw nee,endhdhu nee aennava noodu
170,what you are eating now,nee aena thindharae ega,ninnaga aena maadithae
171,baby is naughty,koosu appara kurumbu,koosu appara koosu
172,are you a badaga,nee ondhu badagana,ninnaga badaga aennaga
173,yes i am a badaga,ha na ondhu badaga,na ninnaga badaga edhdhae
174,my name is bhoja,enna hesaru bhoja,ninna sarae bhoja
175,my village is nanjanad,nanjanad tha aenga hatti,nanjanad aenga hatti
176,dont mess up,giji giji maada baeda,ninnaga ollenge edhdhara
177,she is in a foul mood,hava murukkindhu edhdhavae,emma appara koosu
178,four minutes left to complete,naaku nimisa tha hadathae berkuthuga,nangiga aennaga edhdha hadathae
179,brother looks handsome,thamma appara sooka edhdhanae,aennaga appara sooka hadathae
180,drink water while thirsty,haruppu ga neeru kuduputhu,koosu ollenge edhdhanae
181,wakeup early tomorrow,naaiga othina aeddhu budu,nangiga ollenge orrukuthu
182,daily we need to brush our teeth,jaennagu hallu ujjaadhu,nanga aennaga ollenge tha
183,dont be scared im here,hanja baeda na edhdhae,elliga baeda
184,he is a too scared person,emma appara hanjuguli thava,emma appara kasta edhdhae
185,god save us all,soomi aellava kaapathu,ninna sarae aeguthu aegu
186,at what time we should go,aesu manniga nanga oputhu,aesu manakana aesu jaama
187,im not comming anywhere,na aelligu baputhu ellae,na ninnaga ollenge edhdhae
188,we won maara,nanga jaechibuta maara,maara aennaga maara
189,need to find a job qickly,maennakaenna ondhu gelcha siksaathu,nee manakana ollenge edhdhae
190,tomorrow i will see you,naaiga ninnava na noodinae,naaiga ninnava noodithae
191,what did you prepare for lunch,hagulu hasuga aena maditha,endhdhu aena maadithae
192,did you eat,nee thindhubutaya,nee thindhae
193,lets see what is going to happen,nadatharava aenthu nooduva,ninnaga aena maadithae
194,wait i will come,bannae eru,nanga bannae ollenge bannae
195,ther is a little water in this bottle,ei putti ya osi neeru tha hadathae,ei halla na ninna sarae hadathae
196,i will wash my face and come,na moga thogithu bannae,na ninnaga ollenge banthara
197,see the time in your watch,ninna gadigaara na mani noodu,ninnaga ollenge edhdhae
198,this vechile looks good,ei bandi ollenge hadathae,ei bandi appara sooka hadathae
199,why he is still not here,ema aeka ennu kaanae,emma aeka edhdhae aennaga
200,there was a little rain this moring,endhdhu orukuthu siti mae,ei halla na appara ollenge hadathae
201,i buyed a new shirt,na ondhu osa kamisu esithae,na ollenge edhdhae
202,i wont work today,na endhdhu aella gelcha maaduthu ellae,endhdhu gelcha maaduthu ellae
203,you are very good guy it seems,nee appara oliya koosu aemba,ninnaga appara olliya edathara
204,serve me with some rice,aennaga osi kuu ekku,kuu kuu thindhara
205,your eyes are too redish,kannu appara kaesona hadathae,ninnaga appara sooka hadathae
206,nice smell comes,olliya gamalu banthara,ollenge appara banthara
207,now it is little good,ega tha siti ollenge hadathae,nee appara ollenge hadathae
208,i dont have any change,aenna sarae silarae ellae,aennaga aennaga ellae
209,i like rajini,aennaga rajini tha edathara,rajini appara edathara
210,i am aslo a good actor,naanu ollenge nadichinae,ninnaga olliya olliya olliya
211,come fast lets go,manakana ba nanga oppa,manakana baputhu oppa
212,here there is only dresses for girls,elliya hennu kunnavae battae mattu the attra,elliga hatti ollenge hadathae
213,that is so small,ha kadai appara kunnutha hadathae,edhu appara kunnuthu
214,need to buy a new slippers,osa mettu ondhu esothu,nee ollenge edhdhae
215,egg gravy will be so nice,mottae udhaka appara sooka attra,kunnuthu appara sooka attra
216,i have watched the same thing for so long time,edhuna tha essu jaama noodithae,eni maellae appara edhdhae appara edathara
217,if you wont give you will be punished,tharaathalae oddhae tha,ninnaga aennava baeda
218,dont kill him,kodhuthigae emana,emmana noodithiya
219,they have cupboard  in thier home,havaka manaya beero hadathae,havaka manaya manaya hadathae
220,we should not be frightened while driving,bandi odasanae hanja kudathu,nee ollenge edhdhae
221,i know everone here,na elli ebba havaka aellava harathae,na ninnava edhdhae aennava harathae
222,you both are nice couples,ninga aerada olliya joodi,nee olliya olliya olliya
223,cutting down tree is a sin,mara baettuthu paappa,kunnavae appara kunnuthu
224,u the one who fells so hungry,ninnaga tha appara ottae asthara,ninnaga appara kasta tha edhdhae
225,did you spend your whole salary completely,ninna sambuva aella va berikiptaya,ninnaga aella ollenge edhdhae
226,drink some water if you fell sleepy,orruku bapaningae harae neeru kudi,santhu kuduputhuga kuduputhu ellae
227,what to buy for dinner,santhu thimbuthuga aena esathu,santhu ollenge ettu
228,beasnas will be so good,avarai appara sooka attra,beasnasu sooka attra
229,my brother has one like this,aenna anna na sarae ethae maakae ondhu hadathae,aenga sarae aenna saavirtha ondhu ellae
230,i will tell you if i come,na baputhalae ninnaga aeginae,na ninnaga ollenge edhdhae
231,you should look after everbody,nee tha aellava sakathu,nee ollenge edhdhae
232,i know everything about him,na hamana pathi aellava harathae,ema na ninnava noodithae
233,look at this carefully,edhuna badharava noodiko,edhuna noodithae
234,did you understand this,ninnaga edhu puruthu tha,ninnaga edhuna noodithae
235,hullathi is my mothers village,hullathi enna amma na hatti,hullathi aenga hatti tha hatti
236,nanjanad is mu auntys village,nanjanad aenna chithi ya hatti,nanjanad hatti tha hatti
237,i know only few peoples in my village,na osi havakava tha harathae aenga hatti ya,na aenga hatti havakava na tha hadathae
238,mine is a big village,aenga hatti appara thoda hatti,aenga hatti appara thoda hatti
239,this shirt will be good if you wear it,nee ekkirae ei kamisu ollenge attra,ei thimbuthuga appara sooka hadathae
240,tomorrow is the house warming function,naaiga tha mannae kichu ottiyara,nangiga aennaga ettu jaenna
241,i will go to another job next year,na hadatha varusa baerae gelcha ga onnae,na ennu ollenge ollenge edhdhae
242,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na ei varusa ollenge edhdhae
243,some clothes are there inside the cupboard,halamaari ogasu osi battae hadathae,aenga manaya ollenge hadathae
244,too much wind is blowing,gaai appara beesira,aennaga appara koosu
245,we will drink water,neeru kudapa,neeru kuduputhu
246,everyone should be fine,aella ollenge ebbuthu,nee ollenge edhdhae
247,i didnt get sleep,orruku ollenge bapiliya,santhu ollenge edhdhae
248,did you work,gelcha maadithiya,gelcha maadinae
249,i completed the work,gelcha maadibutae,gelcha maadinae
250,dont do the work,gelcha maada gana,gelcha maadinae
251,did you see him,nee hamana noodithiya,nee hamana noodithae
252,you dont see him,nee amana nooda beda,nee hamana noodu
253,dont be scared,hanjathae eru,nee aennaga edhdhae
254,look at your face,mussiya noodu,ninnaga noodithae
255,dont come here,elliga banthu thigae,elliga banthu ellae
256,you shouldnt come here definetely,elliga kandipa bara kudathu,elliga banthu ellae
257,i dont know this,issh hadhuna aella dhaara arudhu dharae,edhuna aennaga edhdhae aennaga
258,my hand is not paining,kai urchathu ellae,kai urchira
259,tell me if your hands pain,kai urchirae aegu,nee aennava ollenge edhdhae
260,what is the lunch,hagulu ettu aena,hagulu ettu aena
261,what will you do next year,hadutha varusa aena maadirae,aena maadirae aena maadirae
262,will he come,emma bannava,emma banthu buttae
263,shall we go,nanga oppava,nanga oppa
264,they are good peoples,evaka olliyavaka,evaka appara olliya olliya
265,you came,nee banthuptaya,nee banthubuttae
266,i came,na banthuptae,na banthubuttae
267,you guys came,ninga banthupra,nee ollenge banthu buttae
268,it takes time,jaama hara,edhu ollenge edhdhae
269,we have time,jaama hadathae,ninnaga hadathae
270,time is going to up,jaama haputhuga ora,nanga ollenge eru
271,you dont call me,nee aennava korcha beda,ninnaga aennava na ninnava ellae
272,why did you call,nee aeka banthae,nee aeka banthae
273,bus is there in bus stand,tho na bandi hadathae,bandi hadathae ollenge hadathae
274,do you have dress,battae hadathaya,habba ollenge hadathae
275,tomorrow morning we will play,naaiga orukuthuga nalaba,nangiga nalaba
276,tomorrow evening we will play,naaiga santhu ga nalaba,nangiga santhu nalaba
277,we will play for some more time,ennu osi jaama nalaba,nanga osi jaama nalaba
278,tomorrow is wednesday,naaiga bodhavaara jaenna,nennae santhu jaenna
279,tomorrow is thursday,naaiga sikkuvaara jaenna,nangiga santhu jaenna
280,tomorrow is friday,naaiga bellie jaenna,nangiga jaenna
281,today is a good day,endhdhu olleya jaenna,endhdhu ollenge jaenna
282,tomorrow is a good day,naaiga olleya jaenna,nangiga olleya jaenna
283,tomorrow is my birthday,naaiga aenna utti jaenna,nangiga aenna utti jaenna
284,yesterday is my birthdat,nennae aenna utti jaenna,nanga aenna utti jaenna
285,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
286,friday is my birthday,bellie aenna utti jaenna,nangiga aenna utti jaenna
287,i have hundred rupees,aenna sarae nooru uripi hadathae,aenna sarae nooru uripi hadathae
288,i have twenty rupees,aenna sarae eppathu uripi hadathae,aenna sarae eppathi uripi hadathae
289,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathi mooru uripi hadathae
290,i have thousand rupees,aenna sarae saavira uripi hadathae,aenna sarae saavira uripi hadathae
291,i have nine lakhs,aenna sarae ombathu lacha hadathae,aenna sarae ombathu lacha hadathae
292,i have thirty two rupees,aenna sarae moovathi aeradu uripi hadathae,aenna sarae moovathi aeradu uripi hadathae
293,i have thirty nine rupees,aenna sarae moovathi ombathu uripi hadathae,aenna sarae moovathi ombathu uripi hadathae
294,i have fourty two rupees,aenna sarae nalavathi aeradu uripi hadathae,aenna sarae nalavathi aeradu uripi hadathae
295,i have fourty seven rupees,aenna sarae nalavathi ezzhu uripi hadathae,aenna sarae nalavathi ezzhu uripi hadathae
296,i have fifty two rupees,aenna sarae haivathi aeradu uripi hadathae,aenna sarae haivathi aeradu uripi hadathae
297,i have sixty seven rupees,aenna sarae haravathi ezzhu uripi hadathae,aenna sarae haravathi ezzhu uripi hadathae
298,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
299,i have eighty two rupees,aenna sarae eambathi aeradu uripi hadathae,aenna sarae eambathi aeradu uripi hadathae
300,i have eighty six rupees,aenna sarae eambathi haaru uripi hadathae,aenna sarae eambathi haaru uripi hadathae
301,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
302,i have ninty two rupees,aenna sarae thombathi aeradu uripi hadathae,aenna sarae thombathi aeradu uripi hadathae
303,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
304,i have two hundred and ten rupees,aenna sarae eranoora hatthu uripi hadathae,aenna sarae eranoora hatthu uripi hadathae
305,i have three hundred and six rupees,aenna sarae munoora haaru uripi hadathae,aenna sarae munoora haaru uripi hadathae
306,i have four hundred and four rupees,aenna sarae nanoora naaku uripi hadathae,aenna sarae nanoora naaku uripi hadathae
307,i have four hundred and eight rupees,aenna sarae nanoora eattu uripi hadathae,aenna sarae nanoora eattu uripi hadathae
308,i have five hundred and seven rupees,aenna sarae hainoora ezzhu uripi hadathae,aenna sarae hainoora ezzhu uripi hadathae
309,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
310,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
311,i have thousand and three rupees,aenna sarae saavirtha mooru uripi hadathae,aenna sarae saavirtha mooru uripi hadathae
312,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
313,i have thousand and ten rupees,aenna sarae saavirtha hatthu uripi hadathae,aenna sarae saavirtha naaku uripi hadathae
314,i have thousand and twenty five rupees,aenna sarae saavirtha eppathi haithu uripi hadathae,aenna sarae saavirtha eppathu uripi hadathae
315,i have thousand and twenty nine rupees,aenna sarae saavirtha eppathi ombathu uripi hadathae,aenna sarae saavirtha eppathi ombathu uripi hadathae
316,i have thousand and thirty one rupees,aenna sarae saavirtha moovathi ondhu uripi hadathae,aenna sarae saavirtha moovathi ondhu uripi hadathae
317,i have thousand and thirty two rupees,aenna sarae saavirtha moovathi aeradu uripi hadathae,aenna sarae saavirtha moovathi aeradu uripi hadathae
318,i have thousand and thirty four rupees,aenna sarae saavirtha moovathi naaku uripi hadathae,aenna sarae saavirtha moovathi naaku uripi hadathae
319,i have thousand and thirty seven rupees,aenna sarae saavirtha moovathi ezzhu uripi hadathae,aenna sarae saavirtha moovathi ezzhu uripi hadathae
320,i have thousand and fourty seven rupees,aenna sarae saavirtha nalavathi ezzhu uripi hadathae,aenna sarae saavirtha nalavathi ezzhu uripi hadathae
321,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
322,i have thousand and fifty four rupees,aenna sarae saavirtha haivathi naaku uripi hadathae,aenna sarae saavirtha haivathi naaku uripi hadathae
323,i have thousand and sixty one rupees,aenna sarae saavirtha haravathi ondhu uripi hadathae,aenna sarae saavirtha haravathi ondhu uripi hadathae
324,i have thousand and sixty three rupees,aenna sarae saavirtha haravathi mooru uripi hadathae,aenna sarae saavirtha haravathi mooru uripi hadathae
325,i have thousand and eighty rupees,aenna sarae saavirtha eambathu uripi hadathae,aenna sarae saavirtha eambathi eattu uripi hadathae
326,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
327,we will drink milk,haalu kudapa,haalu kudathara
328,they are drinking curd,majigae kudathara,majigae kudathara
329,i dont like curd,majigae aennaga ediya,majigae appara edathara
330,listen to me i will tell you something,na ondhu aeginae orrudu,ninnaga aennava na ninnava noodithae
331,what you are eating now,nee aena thindharae ega,ninnaga aena maadithae
332,two o clock we will go,aeradu manniga oppa,nanga aella ollenge oppa
333,wednesday we will go out,bodhavaara orrasu oppa,nennae santhu oppa
334,eight schools are there in the village,eattu pallitu hattiya hadathae,aenga hatti hattiya hadathae
335,eyes are paining,kannu appara urchira,kai urchira
336,go sleep for sometime,ogu osi jaama orrugu,osi jaama osi jaama
337,make some coffee to drink,osi kaapi be kudapa,koosu ollenge kuduputhu
338,daily we need to brush our teeth,jaennagu hallu ujjaadhu,nanga aennaga ollenge tha
339,dont be scared im here,hanja baeda na edhdhae,elliga baeda
340,he is a too scared person,emma appara hanjuguli thava,emma appara kasta edhdhae
341,theier family suffered a lot,evaka kudumba appara kasta pattu butru,aenga sarae appara thoduthu ellae
342,want to build a new home,hostha ondhu maennae kattuthu,nee manaeya ollenge hadathae
343,im twenty two years old,aennaga eppathu aeradu vayasu aipta,aenna sarae eppathi aeradu thaputhu aeradu
344,i feel sleepy,aenaga orruku bapaningae hadathae,aennaga appara santhu
345,getlost go and sleep,oi orrugu da odra,ollenge oppilae
346,i forgot what i should tell,na aena aeguthu aendhdhu gaena buttuptae,na aena maadithae aena maadithae
347,the house is dirty need to sweep the house,maennae appara gijji gijji kasa bakaathu,manaeya koosu ollenge hadathae
348,hear this song  is fantastic,ei paata ha kaethu noodu bayangara va hadathae,ei koosu ollenge hadathae
