,input_en,true_ba,output
53,asusual time i will come,na jaennagu bapa jaama na tha bannae,na jaama aesu jaama na bannae
54,which time we will go,aesu manniga opputhu,aesu manniga opputhu
55,i havent seen you,na noodavae ellae ninna,na noodavae ellae ninna
56,dont talk too much,appara baasae hada baeda,appara baasae hada baeda
57,talk with respect,mariyathiya baasae haadu,mariyathiya baasae haadu
58,tommorrow is an important day,naaiga mukiyavaenna jaenna,naaiga mukiyavaenna jaenna
59,we are coming tomorrow.,enga naaiga bannaeyo,enga naaiga bannaeyo
60,which is your village,ninna hatti aedhu,ninna hatti aedhu
61,two o clock we will go,aeradu manniga oppa,aeradu manniga oppa
62,wednesday we will go out,bodhavaara orrasu oppa,bodhavaara orrasu oppa
63,eight schools are there in the village,eattu pallitu hattiya hadathae,eattu pallitu hattiya hadathae
64,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena aegithae nee aena maadithae
65,you dont have any other works,ninnaga baerae gelcha vae ellaya,ninnaga baerae gelcha vae ellaya
66,if you eat well ypou can sleep well,ollenge thindharae orruku ollenge bandhara,ollenge thindharae orruku ollenge banthara
67,he is a too scared person,emma appara hanjuguli thava,emma appara hanjuthu thava
68,we won maara,nanga jaechibuta maara,nanga jaama maara
69,how long we should wait without doing anything,ennu aesu jaama tha sapaena ebbuthu,ennu aesu jaama tha sapaena ebbuthu
70,today i had so much work,endhdhu appara gelcha aipta,endhdhu appara gelcha aipta
71,from now only im going to work,eni maellae tha na gelcha maadinae,eni maellae tha na gelcha maadinae
72,i forgot what i should tell,na aena aeguthu aendhdhu gaena buttuptae,na aena aeguthu aendhdhu gaena buttuptae
73,dont think too much,appara ossanae maada baeda,appara ossanae maada baeda
74,your wich do whatever you want,ninga esta aenavo maadi,ninnaga aena maadi maadirae
75,im not even interested,aenaga suthava verupa vae ellae,aenaga suthava verupa vae ellae
76,where did you go,aelliga oithu banthae nee,aelliga oithu banthae nee
77,this is your last chance,edhu tha ninnaga kadaisi vaaipu,edhu tha ninnaga kadaisi kadaisi
78,are you badaga,nee badaga harathaya,nee badaga harathaya
79,i wont do this work hereafter,na eni maellae ei gelchava maaduthu ellae,na eni maellae ei gelcha maaduthu ellae
80,its time go home quickly,jaama aipta manakana manaega ogu,jaama aipta manakana manakana ogu
81,your hands are so tiny,ninnuthu appara kunna kai thava,ninnuthu appara kunna kai thava
82,get a haircut and come home otherwise dont come,mandae besitu manaega ba ellati bara baeda,mandae osi manaega baeda manaega baeda
83,we cant complete this now,edhu ega nathuga mudiya makae,edhu ega nathuga mudiya makae
84,tomorrow i will come late,naaiga siti jama hara baputhuga,naaiga siti jama hara baputhuga
85,did you eat the whole plate,battlu thumba thindhubutaya,battlu thumba thindhubutaya
86,suggest me some good songs,olleya paatu attrae aegu aennaga,olleya paatu attrae aegu aegu aennaga
87,this kid has no cool,koosu ga porumae ellae,koosu ga porumae ellae
88,your house is too small,ninga mannae appara kunnuthu,ninga mannae appara kunnuthu
89,when i look at you i feel like laughing,ninnava noodirae aennaga appara negusu banthara,ninnava noodirae aennaga appara negusu banthara
90,you were having  a cold are you alright,muuka seenjirae aeka odambu sari ellaya,muuka seenjirae aeka odambu sari ellaya
91,he is subconscious,gaena naaenna ellathae haithanae,emma naaenna ellathae haithanae
92,today is too sunny,endhdhu appara besulu,endhdhu appara besulu
93,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,dhana naanu appara soomi kudathu
94,i dont even like this,aennaga edhu sittitu saethi edipillae,aennaga edhu suthava edhu suthava edipilae
95,my mother is our queen in my house,aenga manaeya aenna amma tha rani,aenga manaeya aenna amma tha rani
96,what is your aim in life,nee thoddama harae aena harae,nee tha harae aena harae
97,you will forgot everything,nee aellava gevana buttu butrae,nee aellava gevana buttu butrae
98,where did everyone go,aella aelliga oiypru,aella aelliga oiypru
99,where did everyone go,aella aelliga oiypru,aella aelliga oiypru
100,did you write everything,aella baruthu butaya,aella baruthu butaya
101,i dont like the food,ettu edipiliya,ettu edipiliya
102,eat limitedly,haluva esi thinnu,haluva esi thinnu
103,did you adopt this dog,ninga tha saakithara ei nae ya,ninga tha saakithara ei nae ya
104,how many dogs did you adopt till now,ninga enna gata aessaga nae saakithii,ninga enna gata aessaga nae saakithii
105,will you teach me,nee aennaga aegi thantharaya,nee aennaga aegi thantharaya
106,i dont know this,issh hadhuna aella dhaara arudhu dharae,issh hadhuna aella dhaara arudhu dharae
107,we always watch tamil movies,anga aguvavu tamil pada tha noodiniyu,anga aguvavu tamil pada tha noodiniyu
108,tomorrow we will meet your brother,naaiga ninna anna na nooda,naaiga ninna anna na nooda
109,tomorrow you meet my mother,naaiga aenna amma na noodu,naaiga aenna amma na noodu
110,tomorrow you meet my uncle,naaiga ninna maama na nooda,naaiga aenna maakae noodu
111,day after tomorrow is a good day,nangiga olleya jaenna,nangiga olleya jaenna
112,how is everyone,aella ollenge edhdharya,aella ollenge edhdharya
113,be carefull,ni aaemanthuthigae,ni aaemanthuthigae
114,i want to tell you something,ninna saarae na ondhu aguthu,ninna saarae na ondhu aguthu
115,its too long,jamma appara haibuta,appara jaama haipta
116,i think you dont know him,nee hamana ariyarae maka,nee hamana ariyarae maadiyarae
117,this is so important work,edhu appara mukkiyavatha jooli,edhu appara mukkiyava hadathae
118,can you tell him,hamana sarae aegiriya nee,hamana sarae aegiriya nee
119,what should i do next,ennu na aena maaduthu,ennu na aena maaduthu
120,do you know that kings story,nee ha raja na kadhaya kaethaya,nee ha raja na kadhae kadhae maadiyara
121,he is not that strong,emaga jasthi bala ellae,emaga jasthi bala ellae
122,my dad called you,ninnava enna appa korchina,ninnava enna appa korchina
123,i need to ask you somethings,ninna sarae na osi kaeputhu,ninna sarae na osi kaeputhu
124,my libs are cracked,aennaga thudi oduthu thadathae,aennaga thudi oduthu thadathae
125,driver rides very slow,bandi odusama appara maelana oona,bandi odusathuga appara maelana oona
126,you better look at your work,nee ninna jooli ya noodu,nee ninnaga noodiriya
127,this is noit that difficult,edhdhu hathae ondhu kasta ellae,edhdhu hathae ondhu kasta ellae
128,drinking water is good for health,neeru appara kudatharae ollithu,neeru kudatharae ollithu
129,lets go to temple and come,gudi ga oittu bapa ba,gudi ga oittu bapa ba
130,i will talk to him,na hamana sarae baasae hadinae,na hamana sarae baasae hadinae
131,today i will be late,na endhdhu baputhuga siti jaama hara,na endhdhu baputhuga siti jaama hara
132,today is new moon day,endhdhu muttu jaenna,endhdhu muttu jaenna
133,in your home they wont search for you,ninga maennaya ninnava thaeduthu ellaya,ninga maennaya ninnava thaeduthu ellaya
134,sleeping baby is always beautifiul,kunna koosu orruganae sooka ha edhdhanae noodu,kunna koosu orruganae sooka ha edhdhanae noodu
135,you have a big face,ninna moga appara thoduthu,ninna moga appara thoduthu
136,this job is too boring,ei gelcha appara asundikira,ei gelcha appara asundikira
137,coffee is too good mother,amma kaapi sooka hadathae,amma kaapi sooka hadathae
138,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga parchae hadathae na aennaga
139,this fruit is so sweet,ei hannu appara seeya va attra,ei hannu appara seeya va attra
140,today im very happy,endhdhu appara santhoshava eddhae na,endhdhu appara santhoshava eddhae na
141,today i will come to your home,na ninga manaega bannae endhdhu,ninga manaega endhdhu bannae
142,did you eat the whole plate,battlu thumba thindhubutaya,battlu thumba thindhubutaya
143,dont disturb me,nee aennava thontharavu maada beda,nee aennava thontharavu maada beda
144,there is only a liitle amount of water,neeru appara kammiya tha hadathae,neeru appara kammiya tha hadathae
145,you look beautiful when you smile,nee negatharae appara sooka edhdae,nee negatharae appara sooka edhdae
146,we should always smile while talking,aeguvavu negathu baasae haadu,aeguvavu negathu baasae haadu
147,we shall meet daily hereafter,nanga eni maellae jaennagu nooda,nanga eni maellae jaennagu nooda
148,i dont know what to do,na tha aena maaduthu aendhdhu ariyarae,na tha aena maaduthu aendhdhu ariyarae
149,what to cook today,endhdhu aena ettu maaduthu vario,endhdhu aena ettu maaduthu vario
150,at what time your school starts,ningaga pallitu aesu mani ga,ningaga pallitu aesu maniga pallitu
151,small things define us,kunna kunna visiya tha nee dhara aenthu thorchira,kunna kunna visiya tha nee dhara aenthu thorchira
152,why didnt you eat,aeka ninga ennu thimbillae,nee aeka ninga ennu thimbillae
153,this dog is so adorable,ei nae appara sooka hadathae,ei nae appara sooka hadathae
154,tell me one good name,ondhu olliya hesaru aegu,ondhu olliya hesaru aegu
155,how are you,nee aethae edhdhae,nee aethae edhdhae
156,what is your fathers name,ninna appaenna hesaru aena,ninna appaenna hesaru aena
157,what are you studying,ninga aena kathari,ninga aena kathana
158,we will dance,nanga hatta haada,nanga tha nanga haata
159,oh god,soomi dhaevarae,soomi dhaevarae
160,im sleeping,na originae,na originae
161,will see you tommorrow,naaiga nooda ji,naaiga nooda nooda
162,what are you doing,aena maadirae,aena maadirae
163,come here,elliga ba,elliga ba
164,did you decided,mudivu maadithiya,maadithiya maadithiya
165,asusual time i will come,na jaennagu bapa jaama na tha bannae,na jaama aesu jaama na bannae
166,how are you,nee aethae edhdhae,nee aethae edhdhae
167,see you in morning,orrukuthu nooda,orrukuthu nooda
168,how are your children,ninna kunnavae aella ollenge edhariya,ninna kunnavae aella ollenge edhariya
169,you caught today,endhdhu maatibutae daw nee,endhdhu maatibutae daw nee
170,what you are eating now,nee aena thindharae ega,nee aena thindharae ega
171,baby is naughty,koosu appara kurumbu,koosu appara kurumbu
172,are you a badaga,nee ondhu badagana,nee ondhu badaga
173,yes i am a badaga,ha na ondhu badaga,ha na ondhu badaga
174,my name is bhoja,enna hesaru bhoja,enna hesaru bhoja
175,my village is nanjanad,nanjanad tha aenga hatti,nanjanad tha aenga hatti
176,dont mess up,giji giji maada baeda,giji giji maada baeda
177,she is in a foul mood,hava murukkindhu edhdhavae,hava murukulae edhdhavae
178,four minutes left to complete,naaku nimisa tha hadathae berkuthuga,naaku tha hadathae berkuthuga tha hadathae
179,brother looks handsome,thamma appara sooka edhdhanae,thamma appara sooka edhdhanae
180,drink water while thirsty,haruppu ga neeru kuduputhu,haruppu ga neeru kuduputhu
181,wakeup early tomorrow,naaiga othina aeddhu budu,naaiga othina aedho othina aegu
182,daily we need to brush our teeth,jaennagu hallu ujjaadhu,jaennagu ujjithu budu
183,dont be scared im here,hanja baeda na edhdhae,hanja baeda na edhdhae
184,he is a too scared person,emma appara hanjuguli thava,emma appara hanjuthu thava
185,god save us all,soomi aellava kaapathu,soomi aellava kaapathu
186,at what time we should go,aesu manniga nanga oputhu,aesu manniga nanga oputhu
187,im not comming anywhere,na aelligu baputhu ellae,na aelligu baputhu ellae
188,we won maara,nanga jaechibuta maara,nanga jaama maara
189,need to find a job qickly,maennakaenna ondhu gelcha siksaathu,maennakaenna ondhu gelcha siksaathu
190,tomorrow i will see you,naaiga ninnava na noodinae,naaiga ninnava na noodinae
191,what did you prepare for lunch,hagulu hasuga aena maditha,hagulu ettu aena ettu
192,did you eat,nee thindhubutaya,nee thindhubutaya
193,lets see what is going to happen,nadatharava aenthu nooduva,nadatharava aenthu noodithae
194,wait i will come,bannae eru,bannae eru
195,ther is a little water in this bottle,ei putti ya osi neeru tha hadathae,ei putti ya osi neeru tha hadathae
196,i will wash my face and come,na moga thogithu bannae,na moga thogithu bannae
197,see the time in your watch,ninna gadigaara na mani noodu,ninna gadigaara na mani noodu
198,this vechile looks good,ei bandi ollenge hadathae,ei bandi ollenge hadathae
199,why he is still not here,ema aeka ennu kaanae,ema aeka ennu kaanae
200,there was a little rain this moring,endhdhu orukuthu siti mae,endhdhu orukuthu siti mae
201,i buyed a new shirt,na ondhu osa kamisu esithae,na ondhu osa kamisu esinae
202,i wont work today,na endhdhu aella gelcha maaduthu ellae,na endhdhu gelcha maaduthu ellae
203,you are very good guy it seems,nee appara oliya koosu aemba,nee appara oliya koosu aemba
204,serve me with some rice,aennaga osi kuu ekku,aennaga osi kuu ekku
205,your eyes are too redish,kannu appara kaesona hadathae,kannu appara kaesona edhdhae
206,nice smell comes,olliya gamalu banthara,olliya gamalu banthara
207,now it is little good,ega tha siti ollenge hadathae,ega tha siti ollenge hadathae
208,i dont have any change,aenna sarae silarae ellae,aenna sarae silarae ellae
209,i like rajini,aennaga rajini tha edathara,aennaga rajini tha edathara
210,i am aslo a good actor,naanu ollenge nadichinae,naanu ollenge nadichinae
211,come fast lets go,manakana ba nanga oppa,manakana ba nanga oppa
212,here there is only dresses for girls,elliya hennu kunnavae battae mattu the attra,elliya hennu kunnavae battae mattu the attra
213,that is so small,ha kadai appara kunnutha hadathae,ha kadai appara kunnutha hadathae
214,need to buy a new slippers,osa mettu ondhu esothu,osa mettu ondhu esothu
215,egg gravy will be so nice,mottae udhaka appara sooka attra,mottae udhaka appara sooka attra
216,i have watched the same thing for so long time,edhuna tha essu jaama noodithae,edhuna tha essu jaama noodithae
217,if you wont give you will be punished,tharaathalae oddhae tha,tharaathalae oddhae tha
218,dont kill him,kodhuthigae emana,kodhuthigae emana
219,they have cupboard  in thier home,havaka manaya beero hadathae,havaka manaya beero hadathae
220,we should not be frightened while driving,bandi odasanae hanja kudathu,bandi hanja kudathu budu
221,i know everone here,na elli ebba havaka aellava harathae,na elli ebba havaka aellava harathae
222,you both are nice couples,ninga aerada olliya joodi,ninga aerada olliya joodi
223,cutting down tree is a sin,mara baettuthu paappa,mara baettuthu paappa
224,u the one who fells so hungry,ninnaga tha appara ottae asthara,ninnaga tha appara ottae asthara
225,did you spend your whole salary completely,ninna sambuva aella va berikiptaya,ninna sambuva aella va berikiptiya
226,drink some water if you fell sleepy,orruku bapaningae harae neeru kudi,orruku bapaningae harae neeru kudathara
227,what to buy for dinner,santhu thimbuthuga aena esathu,santhu thimbuthuga aena esathu
228,beasnas will be so good,avarai appara sooka attra,avarai appara sooka attra
229,my brother has one like this,aenna anna na sarae ethae maakae ondhu hadathae,aenna anna na sarae ethae maakae ondhu hadathae
230,i will tell you if i come,na baputhalae ninnaga aeginae,na baputhalae ninnaga aeginae
231,you should look after everbody,nee tha aellava sakathu,nee tha aellava sakathu
232,i know everything about him,na hamana pathi aellava harathae,na hamana ariyarae ondhu harathae
233,look at this carefully,edhuna badharava noodiko,edhuna badharava noodiriya
234,did you understand this,ninnaga edhu puruthu tha,ninnaga edhu puruthu tha
235,hullathi is my mothers village,hullathi enna amma na hatti,hullathi enna amma na hatti
236,nanjanad is mu auntys village,nanjanad aenna chithi ya hatti,nanjanad aenna chithi chithi hatti
237,i know only few peoples in my village,na osi havakava tha harathae aenga hatti ya,na osi havakava tha harathae aenga hatti ya
238,mine is a big village,aenga hatti appara thoda hatti,aenga hatti appara thoda hatti
239,this shirt will be good if you wear it,nee ekkirae ei kamisu ollenge attra,ei kamisu ollenge attrae attra
240,tomorrow is the house warming function,naaiga tha mannae kichu ottiyara,naaiga tha mannae kichu ottiyara
241,i will go to another job next year,na hadatha varusa baerae gelcha ga onnae,na hadatha varusa baerae gelcha ga onnae
242,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na hadatha varusa ondhu mannae
243,some clothes are there inside the cupboard,halamaari ogasu osi battae hadathae,halamaari ogasu osi battae hadathae
244,too much wind is blowing,gaai appara beesira,appara baasae hadathae
245,we will drink water,neeru kudapa,neeru kudapa
246,everyone should be fine,aella ollenge ebbuthu,aella ollenge ebbuthu
247,i didnt get sleep,orruku ollenge bapiliya,orruku ollenge bapiliya
248,did you work,gelcha maadithiya,gelcha maadithaya
249,i completed the work,gelcha maadibutae,gelcha va beriki budu
250,dont do the work,gelcha maada gana,gelcha maada gana
251,did you see him,nee hamana noodithiya,nee hamana noodithiya
252,you dont see him,nee amana nooda beda,nee hamana noodavae
253,dont be scared,hanjathae eru,hanjathae eru
254,look at your face,mussiya noodu,mussiya noodu
255,dont come here,elliga banthu thigae,elliga banthu thigae
256,you shouldnt come here definetely,elliga kandipa bara kudathu,elliga kandipa bara kudathu
257,i dont know this,issh hadhuna aella dhaara arudhu dharae,issh hadhuna aella dhaara arudhu dharae
258,my hand is not paining,kai urchathu ellae,kai urchira aennaga
259,tell me if your hands pain,kai urchirae aegu,kai urchirae aegu
260,what is the lunch,hagulu ettu aena,hagulu ettu aena
261,what will you do next year,hadutha varusa aena maadirae,hadutha varusa aena maadirae
262,will he come,emma bannava,emma banthara
263,shall we go,nanga oppava,nanga oppava
264,they are good peoples,evaka olliyavaka,evaka olliyavaka
265,you came,nee banthuptaya,nee banthuptae
266,i came,na banthuptae,na banthuptae
267,you guys came,ninga banthupra,ninga banthupra
268,it takes time,jaama hara,jaama hara
269,we have time,jaama hadathae,jaama hadathae
270,time is going to up,jaama haputhuga ora,jaama haputhuga haputhu
271,you dont call me,nee aennava korcha beda,nee aennava korcha beda
272,why did you call,nee aeka banthae,nee aeka banthae
273,bus is there in bus stand,tho na bandi hadathae,bandi hadathae hadathae
274,do you have dress,battae hadathaya,battae hadathaya
275,tomorrow morning we will play,naaiga orukuthuga nalaba,naaiga orukuthuga nalaba
276,tomorrow evening we will play,naaiga santhu ga nalaba,naaiga santhu ga nalaba
277,we will play for some more time,ennu osi jaama nalaba,ennu osi jaama nalaba
278,tomorrow is wednesday,naaiga bodhavaara jaenna,naaiga bodhavaara jaenna
279,tomorrow is thursday,naaiga sikkuvaara jaenna,naaiga sikkuvaara jaenna
280,tomorrow is friday,naaiga bellie jaenna,naaiga bellie jaenna
281,today is a good day,endhdhu olleya jaenna,endhdhu olleya jaenna
282,tomorrow is a good day,naaiga olleya jaenna,naaiga olleya jaenna
283,tomorrow is my birthday,naaiga aenna utti jaenna,naaiga aenna utti jaenna
284,yesterday is my birthdat,nennae aenna utti jaenna,nennae aenna utti jaenna
285,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
286,friday is my birthday,bellie aenna utti jaenna,bellie aenna utti jaenna
287,i have hundred rupees,aenna sarae nooru uripi hadathae,aenna sarae nooru uripi hadathae
288,i have twenty rupees,aenna sarae eppathu uripi hadathae,aenna sarae eppathu uripi hadathae
289,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathu uripi hadathae
290,i have thousand rupees,aenna sarae saavira uripi hadathae,aenna sarae saavira uripi hadathae
291,i have nine lakhs,aenna sarae ombathu lacha hadathae,aenna sarae ombathu lacha hadathae
292,i have thirty two rupees,aenna sarae moovathi aeradu uripi hadathae,aenna sarae moovathi aeradu uripi hadathae
293,i have thirty nine rupees,aenna sarae moovathi ombathu uripi hadathae,aenna sarae moovathi ombathu uripi hadathae
294,i have fourty two rupees,aenna sarae nalavathi aeradu uripi hadathae,aenna sarae nalavathi aeradu uripi hadathae
295,i have fourty seven rupees,aenna sarae nalavathi ezzhu uripi hadathae,aenna sarae nalavathi ezzhu uripi hadathae
296,i have fifty two rupees,aenna sarae haivathi aeradu uripi hadathae,aenna sarae haivathi aeradu uripi hadathae
297,i have sixty seven rupees,aenna sarae haravathi ezzhu uripi hadathae,aenna sarae haravathi ezzhu uripi hadathae
298,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
299,i have eighty two rupees,aenna sarae eambathi aeradu uripi hadathae,aenna sarae eambathi aeradu uripi hadathae
300,i have eighty six rupees,aenna sarae eambathi haaru uripi hadathae,aenna sarae eambathi haaru uripi hadathae
301,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
302,i have ninty two rupees,aenna sarae thombathi aeradu uripi hadathae,aenna sarae thombathi aeradu uripi hadathae
303,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
304,i have two hundred and ten rupees,aenna sarae eranoora hatthu uripi hadathae,aenna sarae eranoora hatthu uripi hadathae
305,i have three hundred and six rupees,aenna sarae munoora haaru uripi hadathae,aenna sarae munoora haaru uripi hadathae
306,i have four hundred and four rupees,aenna sarae nanoora naaku uripi hadathae,aenna sarae nanoora naaku uripi hadathae
307,i have four hundred and eight rupees,aenna sarae nanoora eattu uripi hadathae,aenna sarae nanoora eattu uripi hadathae
308,i have five hundred and seven rupees,aenna sarae hainoora ezzhu uripi hadathae,aenna sarae hainoora ezzhu uripi hadathae
309,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
310,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
311,i have thousand and three rupees,aenna sarae saavirtha mooru uripi hadathae,aenna sarae saavirtha mooru uripi hadathae
312,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
313,i have thousand and ten rupees,aenna sarae saavirtha hatthu uripi hadathae,aenna sarae saavirtha hatthu uripi hadathae
314,i have thousand and twenty five rupees,aenna sarae saavirtha eppathi haithu uripi hadathae,aenna sarae saavirtha eppathi haithu uripi hadathae
315,i have thousand and twenty nine rupees,aenna sarae saavirtha eppathi ombathu uripi hadathae,aenna sarae saavirtha eppathi ombathu uripi hadathae
316,i have thousand and thirty one rupees,aenna sarae saavirtha moovathi ondhu uripi hadathae,aenna sarae saavirtha moovathi ondhu uripi hadathae
317,i have thousand and thirty two rupees,aenna sarae saavirtha moovathi aeradu uripi hadathae,aenna sarae saavirtha moovathi aeradu uripi hadathae
318,i have thousand and thirty four rupees,aenna sarae saavirtha moovathi naaku uripi hadathae,aenna sarae saavirtha moovathi naaku uripi hadathae
319,i have thousand and thirty seven rupees,aenna sarae saavirtha moovathi ezzhu uripi hadathae,aenna sarae saavirtha moovathi ezzhu uripi hadathae
320,i have thousand and fourty seven rupees,aenna sarae saavirtha nalavathi ezzhu uripi hadathae,aenna sarae saavirtha nalavathi ezzhu uripi hadathae
321,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
322,i have thousand and fifty four rupees,aenna sarae saavirtha haivathi naaku uripi hadathae,aenna sarae saavirtha haivathi naaku uripi hadathae
323,i have thousand and sixty one rupees,aenna sarae saavirtha haravathi ondhu uripi hadathae,aenna sarae saavirtha haravathi ondhu uripi hadathae
324,i have thousand and sixty three rupees,aenna sarae saavirtha haravathi mooru uripi hadathae,aenna sarae saavirtha haravathi mooru uripi hadathae
325,i have thousand and eighty rupees,aenna sarae saavirtha eambathu uripi hadathae,aenna sarae saavirtha eambathu uripi hadathae
326,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
327,we will drink milk,haalu kudapa,haalu kudapa
328,they are drinking curd,majigae kudathara,majigae kudathara
329,i dont like curd,majigae aennaga ediya,majigae aennaga ediya
330,listen to me i will tell you something,na ondhu aeginae orrudu,na ondhu aeginae orrukuthu aeginae
331,what you are eating now,nee aena thindharae ega,nee aena thindharae ega
332,two o clock we will go,aeradu manniga oppa,aeradu manniga oppa
333,wednesday we will go out,bodhavaara orrasu oppa,bodhavaara orrasu oppa
334,eight schools are there in the village,eattu pallitu hattiya hadathae,eattu pallitu hattiya hadathae
335,eyes are paining,kannu appara urchira,kannu appara urchira
336,go sleep for sometime,ogu osi jaama orrugu,ogu osi jaama orrugu
337,make some coffee to drink,osi kaapi be kudapa,osi kaapi be kudapa
338,daily we need to brush our teeth,jaennagu hallu ujjaadhu,jaennagu ujjithu budu
339,dont be scared im here,hanja baeda na edhdhae,hanja baeda na edhdhae
340,he is a too scared person,emma appara hanjuguli thava,emma appara hanjuthu thava
341,theier family suffered a lot,evaka kudumba appara kasta pattu butru,evaka kudumba appara kasta pattu butru
342,want to build a new home,hostha ondhu maennae kattuthu,hostha ondhu maennae kattu
343,im twenty two years old,aennaga eppathu aeradu vayasu aipta,aennaga eppathu aeradu vayasu aipta
344,i feel sleepy,aenaga orruku bapaningae hadathae,aenaga orruku bapaningae hadathae
345,getlost go and sleep,oi orrugu da odra,oi orrugu da odra
